job,location,salary_med,demand,lon,lat
Computer Support Specialist,"New York City, NY",23,5,-74.005974,40.712776
Computer Support Specialist,"Los Angeles, CA",22,4,-118.243683,34.052235
Computer Support Specialist,"San Francisco, CA",25,4,-122.419418,37.774929
Computer Support Specialist,"San Jose, CA",24,4,-121.88633,37.338207
Computer Support Specialist,"Boston, MA",22,5,-71.058884,42.360081
Computer Support Specialist,"Chicago, IL",20,4,-87.63245,41.88425
Computer Support Specialist,"Houston, TX",20,5,-95.36953,29.76079
Computer Support Specialist,"Phoenix, AZ",19,4,-112.0758,33.44826
Computer Support Specialist,"Philadelphia, PA",20,4,-75.16218,39.95223
Computer Support Specialist,"San Antonio, TX",18,4,-98.49461,29.42458
Computer Support Specialist,"San Diego, CA",20,5,-117.16171,32.71568
Computer Support Specialist,"Dallas, TX",19,5,-96.79512,32.77823
Computer Support Specialist,"Indianapolis, IN",18,4,-86.14996,39.76691
Computer Support Specialist,"Washington, DC",24,5,-77.03196,38.89037
Computer Support Specialist,"Miami, FL",19,4,-80.19773,25.77481
Computer Support Specialist,"Pittsburgh, PA",18,4,-79.99734,40.43851
Computer Support Specialist,"New York City, NY",23,5,-74.005974,40.712776
Computer Support Specialist,"Los Angeles, CA",22,4,-118.243683,34.052235
Computer Support Specialist,"San Francisco, CA",25,4,-122.419418,37.774929
Computer Support Specialist,"San Jose, CA",24,4,-121.88633,37.338207
Computer Support Specialist,"Boston, MA",22,5,-71.058884,42.360081
Computer Support Specialist,"Chicago, IL",20,4,-87.63245,41.88425
Computer Support Specialist,"Houston, TX",20,5,-95.36953,29.76079
Computer Support Specialist,"Phoenix, AZ",19,4,-112.0758,33.44826
Computer Support Specialist,"Philadelphia, PA",20,4,-75.16218,39.95223
Computer Support Specialist,"San Antonio, TX",18,4,-98.49461,29.42458
Computer Support Specialist,"San Diego, CA",20,5,-117.16171,32.71568
Computer Support Specialist,"Dallas, TX",19,5,-96.79512,32.77823
Computer Support Specialist,"Indianapolis, IN",18,4,-86.14996,39.76691
Computer Support Specialist,"Washington, DC",24,5,-77.03196,38.89037
Computer Support Specialist,"Miami, FL",19,4,-80.19773,25.77481
Computer Support Specialist,"Pittsburgh, PA",18,4,-79.99734,40.43851
Computer Support Specialist,"Montgomery, AL",19,4,-86.279118,32.361538
Computer Support Specialist,"Little Rock, AR",17,4,-92.331122,34.736009
Computer Support Specialist,"Sacramento, CA",20,4,-121.468926,38.555605
Computer Support Specialist,"Denver, CO",20,4,-104.984167,39.7391667
Computer Support Specialist,"Hartford, CT",22,4,-72.677,41.767
Computer Support Specialist,"Dover, DE",18,4,-75.526755,39.161921
Computer Support Specialist,"Tallahassee, FL",16,4,-84.27277,30.4518
Computer Support Specialist,"Atlanta, GA",21,5,-84.39,33.76
Computer Support Specialist,"Boise, ID",17,4,-116.237651,43.613739
Computer Support Specialist,"Springfield, IL",20,3,-89.650373,39.78325
Computer Support Specialist,"Des Moines, IA",18,4,-93.620866,41.590939
Computer Support Specialist,"Topeka, KS",18,4,-95.69,39.04
Computer Support Specialist,"Frankfort, KY",17,5,-84.86311,38.197274
Computer Support Specialist,"Baton Rouge, LA",20,4,-91.140229,30.45809
Computer Support Specialist,"Augusta, GA",19,4,-69.765261,44.323535
Computer Support Specialist,"Annapolis, MD",21,4,-76.501157,38.972945
Computer Support Specialist,"Lansing, MI",18,4,-84.5467,42.7335
Computer Support Specialist,"Saint Paul, MN",19,4,-93.094,44.95
Computer Support Specialist,"Jefferson City, MO",20,4,-92.189283,38.572954
Computer Support Specialist,"Lincoln, NE",17,4,-96.675345,40.809868
Computer Support Specialist,"Carson City, NV",23,5,-119.753877,39.160949
Computer Support Specialist,"Concord, NH",20,4,-71.549127,43.220093
Computer Support Specialist,"Trenton, NJ",22,5,-74.756138,40.221741
Computer Support Specialist,"Santa Fe, NM",17,4,-105.964575,35.667231
Computer Support Specialist,"Albany, NY",18,5,-73.781339,42.659829
Computer Support Specialist,"Raleigh, NC",20,5,-78.638,35.771
Computer Support Specialist,"Bismarck, ND",19,3,-100.779004,48.813343
Computer Support Specialist,"Columbus, OH",19,4,-83.000647,39.962245
Computer Support Specialist,"Oklahoma City, OK",17,4,-97.534994,35.482309
Computer Support Specialist,"Salem, OR",19,4,-123.029159,44.931109
Computer Support Specialist,"Providence, RI",18,4,-71.422132,41.82355
Computer Support Specialist,"Columbia, SC",17,4,-81.035,34.0
Computer Support Specialist,"Pierre, SD",19,4,-100.336378,44.367966
Computer Support Specialist,"Nashville, TN",18,4,-86.784,36.165
Computer Support Specialist,"Austin, TX",19,5,-97.75,30.266667
Computer Support Specialist,"Salt Lake City, UT",17,4,-111.892622,40.7547
Computer Support Specialist,"Montpelier, VT",20,4,-72.57194,44.26639
Computer Support Specialist,"Seattle, WA",21,4,-122.332069,47.606209
Computer Support Specialist,"Charleston, WV",16,4,-81.633294,38.349497
Computer Support Specialist,"Madison, WI",19,5,-89.384444,43.074722
Computer Support Specialist,"Cheyenne, WY",22,3,-104.802042,41.145548
