job,location,salary_med,demand,lon,lat
Cyber Security Analyst,"New York City, NY",91354,4,-74.005974,40.712776
Cyber Security Analyst,"Los Angeles, CA",85547,3,-118.243683,34.052235
Cyber Security Analyst,"San Francisco, CA",93056,3,-122.419418,37.774929
Cyber Security Analyst,"San Jose, CA",93369,4,-121.88633,37.338207
Cyber Security Analyst,"Boston, MA",85786,3,-71.058884,42.360081
Cyber Security Analyst,"Chicago, IL",86772,3,-87.63245,41.88425
Cyber Security Analyst,"Houston, TX",85760,3,-95.36953,29.76079
Cyber Security Analyst,"Phoenix, AZ",79646,3,-112.0758,33.44826
Cyber Security Analyst,"Philadelphia, PA",81321,4,-75.16218,39.95223
Cyber Security Analyst,"San Antonio, TX",79488,4,-98.49461,29.42458
Cyber Security Analyst,"San Diego, CA",84402,3,-117.16171,32.71568
Cyber Security Analyst,"Dallas, TX",83905,4,-96.79512,32.77823
Cyber Security Analyst,"Indianapolis, IN",80365,3,-86.14996,39.76691
Cyber Security Analyst,"Washington, DC",89666,5,-77.03196,38.89037
Cyber Security Analyst,"Miami, FL",81300,3,-80.19773,25.77481
Cyber Security Analyst,"Pittsburgh, PA",81290,3,-79.99734,40.43851
Cyber Security Analyst,"New York City, NY",91354,4,-74.005974,40.712776
Cyber Security Analyst,"Los Angeles, CA",85547,3,-118.243683,34.052235
Cyber Security Analyst,"San Francisco, CA",93056,3,-122.419418,37.774929
Cyber Security Analyst,"San Jose, CA",93369,4,-121.88633,37.338207
Cyber Security Analyst,"Boston, MA",85786,3,-71.058884,42.360081
Cyber Security Analyst,"Chicago, IL",86772,3,-87.63245,41.88425
Cyber Security Analyst,"Houston, TX",85760,3,-95.36953,29.76079
Cyber Security Analyst,"Phoenix, AZ",79646,3,-112.0758,33.44826
Cyber Security Analyst,"Philadelphia, PA",81321,4,-75.16218,39.95223
Cyber Security Analyst,"San Antonio, TX",79488,4,-98.49461,29.42458
Cyber Security Analyst,"San Diego, CA",84402,3,-117.16171,32.71568
Cyber Security Analyst,"Dallas, TX",83905,4,-96.79512,32.77823
Cyber Security Analyst,"Indianapolis, IN",80365,3,-86.14996,39.76691
Cyber Security Analyst,"Washington, DC",89666,5,-77.03196,38.89037
Cyber Security Analyst,"Miami, FL",81300,3,-80.19773,25.77481
Cyber Security Analyst,"Pittsburgh, PA",81290,3,-79.99734,40.43851
Cyber Security Analyst,"Montgomery, AL",88431,4,-86.279118,32.361538
Cyber Security Analyst,"Little Rock, AR",73299,3,-92.331122,34.736009
Cyber Security Analyst,"Sacramento, CA",90338,3,-121.468926,38.555605
Cyber Security Analyst,"Denver, CO",83107,4,-104.984167,39.7391667
Cyber Security Analyst,"Hartford, CT",83021,4,-72.677,41.767
Cyber Security Analyst,"Dover, DE",87826,4,-75.526755,39.161921
Cyber Security Analyst,"Tallahassee, FL",66611,4,-84.27277,30.4518
Cyber Security Analyst,"Atlanta, GA",84967,4,-84.39,33.76
Cyber Security Analyst,"Boise, ID",77385,3,-116.237651,43.613739
Cyber Security Analyst,"Springfield, IL",85044,3,-89.650373,39.78325
Cyber Security Analyst,"Des Moines, IA",76290,4,-93.620866,41.590939
Cyber Security Analyst,"Topeka, KS",66633,3,-95.69,39.04
Cyber Security Analyst,"Frankfort, KY",84062,4,-84.86311,38.197274
Cyber Security Analyst,"Baton Rouge, LA",86844,3,-91.140229,30.45809
Cyber Security Analyst,"Augusta, GA",78790,4,-69.765261,44.323535
Cyber Security Analyst,"Annapolis, MD",85980,4,-76.501157,38.972945
Cyber Security Analyst,"Lansing, MI",78496,4,-84.5467,42.7335
Cyber Security Analyst,"Saint Paul, MN",77922,3,-93.094,44.95
Cyber Security Analyst,"Jefferson City, MO",75454,3,-92.189283,38.572954
Cyber Security Analyst,"Lincoln, NE",61521,3,-96.675345,40.809868
Cyber Security Analyst,"Carson City, NV",113668,3,-119.753877,39.160949
Cyber Security Analyst,"Concord, NH",75918,3,-71.549127,43.220093
Cyber Security Analyst,"Trenton, NJ",86214,4,-74.756138,40.221741
Cyber Security Analyst,"Santa Fe, NM",87873,3,-105.964575,35.667231
Cyber Security Analyst,"Albany, NY",80662,3,-73.781339,42.659829
Cyber Security Analyst,"Raleigh, NC",84525,4,-78.638,35.771
Cyber Security Analyst,"Bismarck, ND",88738,3,-100.779004,48.813343
Cyber Security Analyst,"Columbus, OH",82224,3,-83.000647,39.962245
Cyber Security Analyst,"Oklahoma City, OK",72311,3,-97.534994,35.482309
Cyber Security Analyst,"Salem, OR",76411,3,-123.029159,44.931109
Cyber Security Analyst,"Providence, RI",86135,4,-71.422132,41.82355
Cyber Security Analyst,"Columbia, SC",75438,5,-81.035,34.0
Cyber Security Analyst,"Pierre, SD",117891,3,-100.336378,44.367966
Cyber Security Analyst,"Nashville, TN",80442,3,-86.784,36.165
Cyber Security Analyst,"Austin, TX",86267,4,-97.75,30.266667
Cyber Security Analyst,"Salt Lake City, UT",74578,3,-111.892622,40.7547
Cyber Security Analyst,"Montpelier, VT",81957,4,-72.57194,44.26639
Cyber Security Analyst,"Seattle, WA",87741,3,-122.332069,47.606209
Cyber Security Analyst,"Charleston, WV",82423,3,-81.633294,38.349497
Cyber Security Analyst,"Madison, WI",70736,4,-89.384444,43.074722
Cyber Security Analyst,"Cheyenne, WY",73308,3,-104.802042,41.145548
