job,location,salary_med,demand,lon,lat
Data Scientist,"New York City, NY",117235,5,-74.005974,40.712776
Data Scientist,"Los Angeles, CA",116270,3,-118.243683,34.052235
Data Scientist,"San Francisco, CA",116660,5,-122.419418,37.774929
Data Scientist,"San Jose, CA",119923,5,-121.88633,37.338207
Data Scientist,"Boston, MA",115173,4,-71.058884,42.360081
Data Scientist,"Chicago, IL",113915,4,-87.63245,41.88425
Data Scientist,"Houston, TX",107896,3,-95.36953,29.76079
Data Scientist,"Phoenix, AZ",111426,3,-112.0758,33.44826
Data Scientist,"Philadelphia, PA",108059,3,-75.16218,39.95223
Data Scientist,"San Antonio, TX",107572,3,-98.49461,29.42458
Data Scientist,"San Diego, CA",112948,3,-117.16171,32.71568
Data Scientist,"Dallas, TX",110779,3,-96.79512,32.77823
Data Scientist,"Indianapolis, IN",102432,3,-86.14996,39.76691
Data Scientist,"Washington, DC",112255,4,-77.03196,38.89037
Data Scientist,"Miami, FL",112713,3,-80.19773,25.77481
Data Scientist,"Pittsburgh, PA",103924,4,-79.99734,40.43851
Data Scientist,"New York City, NY",117235,5,-74.005974,40.712776
Data Scientist,"Los Angeles, CA",116270,3,-118.243683,34.052235
Data Scientist,"San Francisco, CA",116660,5,-122.419418,37.774929
Data Scientist,"San Jose, CA",119923,5,-121.88633,37.338207
Data Scientist,"Boston, MA",115173,4,-71.058884,42.360081
Data Scientist,"Chicago, IL",113915,4,-87.63245,41.88425
Data Scientist,"Houston, TX",107896,3,-95.36953,29.76079
Data Scientist,"Phoenix, AZ",111426,3,-112.0758,33.44826
Data Scientist,"Philadelphia, PA",108059,3,-75.16218,39.95223
Data Scientist,"San Antonio, TX",107572,3,-98.49461,29.42458
Data Scientist,"San Diego, CA",112948,3,-117.16171,32.71568
Data Scientist,"Dallas, TX",110779,3,-96.79512,32.77823
Data Scientist,"Indianapolis, IN",102432,3,-86.14996,39.76691
Data Scientist,"Washington, DC",112255,4,-77.03196,38.89037
Data Scientist,"Miami, FL",112713,3,-80.19773,25.77481
Data Scientist,"Pittsburgh, PA",103924,4,-79.99734,40.43851
Data Scientist,"Montgomery, AL",108716,3,-86.279118,32.361538
Data Scientist,"Little Rock, AR",112889,3,-92.331122,34.736009
Data Scientist,"Sacramento, CA",117221,3,-121.468926,38.555605
Data Scientist,"Denver, CO",108564,3,-104.984167,39.7391667
Data Scientist,"Hartford, CT",112035,4,-72.677,41.767
Data Scientist,"Dover, DE",108245,3,-75.526755,39.161921
Data Scientist,"Tallahassee, FL",106127,3,-84.27277,30.4518
Data Scientist,"Atlanta, GA",112454,4,-84.39,33.76
Data Scientist,"Boise, ID",111496,3,-116.237651,43.613739
Data Scientist,"Springfield, IL",96923,3,-89.650373,39.78325
Data Scientist,"Des Moines, IA",104651,3,-93.620866,41.590939
Data Scientist,"Topeka, KS",107581,3,-95.69,39.04
Data Scientist,"Frankfort, KY",82984,3,-84.86311,38.197274
Data Scientist,"Baton Rouge, LA",103310,3,-91.140229,30.45809
Data Scientist,"Augusta, GA",116793,3,-69.765261,44.323535
Data Scientist,"Annapolis, MD",109426,3,-76.501157,38.972945
Data Scientist,"Lansing, MI",94483,3,-84.5467,42.7335
Data Scientist,"Saint Paul, MN",109689,3,-93.094,44.95
Data Scientist,"Jefferson City, MO",80744,3,-92.189283,38.572954
Data Scientist,"Lincoln, NE",91675,3,-96.675345,40.809868
Data Scientist,"Carson City, NV",103091,3,-119.753877,39.160949
Data Scientist,"Concord, NH",94906,3,-71.549127,43.220093
Data Scientist,"Trenton, NJ",110564,4,-74.756138,40.221741
Data Scientist,"Santa Fe, NM",87485,3,-105.964575,35.667231
Data Scientist,"Albany, NY",109770,3,-73.781339,42.659829
Data Scientist,"Raleigh, NC",107577,4,-78.638,35.771
Data Scientist,"Bismarck, ND",99060,2,-100.779004,48.813343
Data Scientist,"Columbus, OH",111739,3,-83.000647,39.962245
Data Scientist,"Oklahoma City, OK",92955,3,-97.534994,35.482309
Data Scientist,"Salem, OR",95189,3,-123.029159,44.931109
Data Scientist,"Providence, RI",115063,3,-71.422132,41.82355
Data Scientist,"Columbia, SC",111462,3,-81.035,34.0
Data Scientist,"Pierre, SD",81231,3,-100.336378,44.367966
Data Scientist,"Nashville, TN",116583,3,-86.784,36.165
Data Scientist,"Austin, TX",111930,4,-97.75,30.266667
Data Scientist,"Salt Lake City, UT",106007,3,-111.892622,40.7547
Data Scientist,"Montpelier, VT",86529,3,-72.57194,44.26639
Data Scientist,"Seattle, WA",111560,4,-122.332069,47.606209
Data Scientist,"Charleston, WV",110512,3,-81.633294,38.349497
Data Scientist,"Madison, WI",101731,3,-89.384444,43.074722
Data Scientist,"Cheyenne, WY",106134,3,-104.802042,41.145548
