job,location,salary_med,demand,lon,lat
Database Administrator,"New York City, NY",91599,4,-74.005974,40.712776
Database Administrator,"Los Angeles, CA",89851,4,-118.243683,34.052235
Database Administrator,"San Francisco, CA",97421,4,-122.419418,37.774929
Database Administrator,"San Jose, CA",101559,4,-121.88633,37.338207
Database Administrator,"Boston, MA",87530,4,-71.058884,42.360081
Database Administrator,"Chicago, IL",89327,4,-87.63245,41.88425
Database Administrator,"Houston, TX",87671,4,-95.36953,29.76079
Database Administrator,"Phoenix, AZ",84232,4,-112.0758,33.44826
Database Administrator,"Philadelphia, PA",85284,4,-75.16218,39.95223
Database Administrator,"San Antonio, TX",76317,4,-98.49461,29.42458
Database Administrator,"San Diego, CA",85686,4,-117.16171,32.71568
Database Administrator,"Dallas, TX",90492,4,-96.79512,32.77823
Database Administrator,"Indianapolis, IN",70616,4,-86.14996,39.76691
Database Administrator,"Washington, DC",91848,5,-77.03196,38.89037
Database Administrator,"Miami, FL",76711,4,-80.19773,25.77481
Database Administrator,"Pittsburgh, PA",78585,4,-79.99734,40.43851
Database Administrator,"New York City, NY",91599,4,-74.005974,40.712776
Database Administrator,"Los Angeles, CA",89851,4,-118.243683,34.052235
Database Administrator,"San Francisco, CA",97421,4,-122.419418,37.774929
Database Administrator,"San Jose, CA",101559,4,-121.88633,37.338207
Database Administrator,"Boston, MA",87530,4,-71.058884,42.360081
Database Administrator,"Chicago, IL",89327,4,-87.63245,41.88425
Database Administrator,"Houston, TX",87671,4,-95.36953,29.76079
Database Administrator,"Phoenix, AZ",84232,4,-112.0758,33.44826
Database Administrator,"Philadelphia, PA",85284,4,-75.16218,39.95223
Database Administrator,"San Antonio, TX",76317,4,-98.49461,29.42458
Database Administrator,"San Diego, CA",85686,4,-117.16171,32.71568
Database Administrator,"Dallas, TX",90492,4,-96.79512,32.77823
Database Administrator,"Indianapolis, IN",70616,4,-86.14996,39.76691
Database Administrator,"Washington, DC",91848,5,-77.03196,38.89037
Database Administrator,"Miami, FL",76711,4,-80.19773,25.77481
Database Administrator,"Pittsburgh, PA",78585,4,-79.99734,40.43851
Database Administrator,"Montgomery, AL",89555,5,-86.279118,32.361538
Database Administrator,"Little Rock, AR",75386,4,-92.331122,34.736009
Database Administrator,"Sacramento, CA",88202,4,-121.468926,38.555605
Database Administrator,"Denver, CO",84346,4,-104.984167,39.7391667
Database Administrator,"Hartford, CT",86618,4,-72.677,41.767
Database Administrator,"Dover, DE",95797,3,-75.526755,39.161921
Database Administrator,"Tallahassee, FL",81949,4,-84.27277,30.4518
Database Administrator,"Atlanta, GA",88042,5,-84.39,33.76
Database Administrator,"Boise, ID",82103,4,-116.237651,43.613739
Database Administrator,"Springfield, IL",79867,3,-89.650373,39.78325
Database Administrator,"Des Moines, IA",85727,4,-93.620866,41.590939
Database Administrator,"Topeka, KS",54758,4,-95.69,39.04
Database Administrator,"Frankfort, KY",77130,3,-84.86311,38.197274
Database Administrator,"Baton Rouge, LA",90402,4,-91.140229,30.45809
Database Administrator,"Augusta, GA",61183,3,-69.765261,44.323535
Database Administrator,"Annapolis, MD",79416,4,-76.501157,38.972945
Database Administrator,"Lansing, MI",79640,5,-84.5467,42.7335
Database Administrator,"Saint Paul, MN",79810,4,-93.094,44.95
Database Administrator,"Jefferson City, MO",69287,4,-92.189283,38.572954
Database Administrator,"Carson City, NV",92990,3,-119.753877,39.160949
Database Administrator,"Concord, NH",65755,3,-71.549127,43.220093
Database Administrator,"Trenton, NJ",92174,5,-74.756138,40.221741
Database Administrator,"Santa Fe, NM",65731,3,-105.964575,35.667231
Database Administrator,"Albany, NY",85407,4,-73.781339,42.659829
Database Administrator,"Raleigh, NC",86784,5,-78.638,35.771
Database Administrator,"Bismarck, ND",79277,3,-100.779004,48.813343
Database Administrator,"Columbus, OH",86823,5,-83.000647,39.962245
Database Administrator,"Oklahoma City, OK",69170,4,-97.534994,35.482309
Database Administrator,"Salem, OR",69095,3,-123.029159,44.931109
Database Administrator,"Providence, RI",86828,4,-71.422132,41.82355
Database Administrator,"Columbia, SC",78918,4,-81.035,34.0
Database Administrator,"Pierre, SD",93967,3,-100.336378,44.367966
Database Administrator,"Nashville, TN",80869,4,-86.784,36.165
Database Administrator,"Austin, TX",86907,4,-97.75,30.266667
Database Administrator,"Salt Lake City, UT",72620,4,-111.892622,40.7547
Database Administrator,"Montpelier, VT",56022,3,-72.57194,44.26639
Database Administrator,"Seattle, WA",88255,4,-122.332069,47.606209
Database Administrator,"Charleston, WV",80625,4,-81.633294,38.349497
Database Administrator,"Madison, WI",70701,4,-89.384444,43.074722
Database Administrator,"Cheyenne, WY",63613,4,-104.802042,41.145548
