job,location,salary_med,demand,lon,lat
Electrical Design Engineer,"New York City, NY",88188,2,-74.005974,40.712776
Electrical Design Engineer,"Los Angeles, CA",92343,3,-118.243683,34.052235
Electrical Design Engineer,"San Francisco, CA",99184,3,-122.419418,37.774929
Electrical Design Engineer,"San Jose, CA",113227,3,-121.88633,37.338207
Electrical Design Engineer,"Boston, MA",91548,2,-71.058884,42.360081
Electrical Design Engineer,"Chicago, IL",83757,3,-87.63245,41.88425
Electrical Design Engineer,"Houston, TX",86488,2,-95.36953,29.76079
Electrical Design Engineer,"Phoenix, AZ",94889,3,-112.0758,33.44826
Electrical Design Engineer,"Philadelphia, PA",83923,2,-75.16218,39.95223
Electrical Design Engineer,"San Antonio, TX",87616,2,-98.49461,29.42458
Electrical Design Engineer,"San Diego, CA",103500,3,-117.16171,32.71568
Electrical Design Engineer,"Dallas, TX",91660,3,-96.79512,32.77823
Electrical Design Engineer,"Indianapolis, IN",87899,2,-86.14996,39.76691
Electrical Design Engineer,"Washington, DC",89585,2,-77.03196,38.89037
Electrical Design Engineer,"Miami, FL",76099,2,-80.19773,25.77481
Electrical Design Engineer,"Pittsburgh, PA",87080,2,-79.99734,40.43851
Electrical Design Engineer,"New York City, NY",88188,2,-74.005974,40.712776
Electrical Design Engineer,"Los Angeles, CA",92343,3,-118.243683,34.052235
Electrical Design Engineer,"San Francisco, CA",99184,3,-122.419418,37.774929
Electrical Design Engineer,"San Jose, CA",113227,3,-121.88633,37.338207
Electrical Design Engineer,"Boston, MA",91548,2,-71.058884,42.360081
Electrical Design Engineer,"Chicago, IL",83757,3,-87.63245,41.88425
Electrical Design Engineer,"Houston, TX",86488,2,-95.36953,29.76079
Electrical Design Engineer,"Phoenix, AZ",94889,3,-112.0758,33.44826
Electrical Design Engineer,"Philadelphia, PA",83923,2,-75.16218,39.95223
Electrical Design Engineer,"San Antonio, TX",87616,2,-98.49461,29.42458
Electrical Design Engineer,"San Diego, CA",103500,3,-117.16171,32.71568
Electrical Design Engineer,"Dallas, TX",91660,3,-96.79512,32.77823
Electrical Design Engineer,"Indianapolis, IN",87899,2,-86.14996,39.76691
Electrical Design Engineer,"Washington, DC",89585,2,-77.03196,38.89037
Electrical Design Engineer,"Miami, FL",76099,2,-80.19773,25.77481
Electrical Design Engineer,"Pittsburgh, PA",87080,2,-79.99734,40.43851
Electrical Design Engineer,"Montgomery, AL",80960,3,-86.279118,32.361538
Electrical Design Engineer,"Little Rock, AR",71437,2,-92.331122,34.736009
Electrical Design Engineer,"Sacramento, CA",101877,3,-121.468926,38.555605
Electrical Design Engineer,"Denver, CO",82464,2,-104.984167,39.7391667
Electrical Design Engineer,"Hartford, CT",90573,3,-72.677,41.767
Electrical Design Engineer,"Dover, DE",61888,2,-75.526755,39.161921
Electrical Design Engineer,"Tallahassee, FL",76781,2,-84.27277,30.4518
Electrical Design Engineer,"Atlanta, GA",89073,3,-84.39,33.76
Electrical Design Engineer,"Boise, ID",105141,3,-116.237651,43.613739
Electrical Design Engineer,"Springfield, IL",91078,3,-89.650373,39.78325
Electrical Design Engineer,"Des Moines, IA",72147,3,-93.620866,41.590939
Electrical Design Engineer,"Baton Rouge, LA",96477,2,-91.140229,30.45809
Electrical Design Engineer,"Augusta, GA",83119,3,-69.765261,44.323535
Electrical Design Engineer,"Annapolis, MD",79422,3,-76.501157,38.972945
Electrical Design Engineer,"Lansing, MI",72301,2,-84.5467,42.7335
Electrical Design Engineer,"Saint Paul, MN",80958,3,-93.094,44.95
Electrical Design Engineer,"Lincoln, NE",107023,2,-96.675345,40.809868
Electrical Design Engineer,"Trenton, NJ",88460,2,-74.756138,40.221741
Electrical Design Engineer,"Albany, NY",78463,2,-73.781339,42.659829
Electrical Design Engineer,"Raleigh, NC",89455,3,-78.638,35.771
Electrical Design Engineer,"Bismarck, ND",91710,3,-100.779004,48.813343
Electrical Design Engineer,"Columbus, OH",83191,2,-83.000647,39.962245
Electrical Design Engineer,"Oklahoma City, OK",76861,3,-97.534994,35.482309
Electrical Design Engineer,"Salem, OR",79237,3,-123.029159,44.931109
Electrical Design Engineer,"Providence, RI",106392,2,-71.422132,41.82355
Electrical Design Engineer,"Columbia, SC",73730,2,-81.035,34.0
Electrical Design Engineer,"Nashville, TN",83945,3,-86.784,36.165
Electrical Design Engineer,"Austin, TX",102795,3,-97.75,30.266667
Electrical Design Engineer,"Salt Lake City, UT",82908,2,-111.892622,40.7547
Electrical Design Engineer,"Seattle, WA",99012,3,-122.332069,47.606209
Electrical Design Engineer,"Charleston, WV",82286,3,-81.633294,38.349497
Electrical Design Engineer,"Madison, WI",71121,2,-89.384444,43.074722
