job,location,salary_med,demand,lon,lat
Embedded Software Engineer,"New York City, NY",106814,2,-74.005974,40.712776
Embedded Software Engineer,"Los Angeles, CA",110600,3,-118.243683,34.052235
Embedded Software Engineer,"San Francisco, CA",113187,3,-122.419418,37.774929
Embedded Software Engineer,"San Jose, CA",116880,4,-121.88633,37.338207
Embedded Software Engineer,"Boston, MA",109366,3,-71.058884,42.360081
Embedded Software Engineer,"Chicago, IL",95906,3,-87.63245,41.88425
Embedded Software Engineer,"Houston, TX",103537,2,-95.36953,29.76079
Embedded Software Engineer,"Phoenix, AZ",103279,3,-112.0758,33.44826
Embedded Software Engineer,"Philadelphia, PA",96814,3,-75.16218,39.95223
Embedded Software Engineer,"San Antonio, TX",113725,2,-98.49461,29.42458
Embedded Software Engineer,"San Diego, CA",107254,3,-117.16171,32.71568
Embedded Software Engineer,"Dallas, TX",95945,3,-96.79512,32.77823
Embedded Software Engineer,"Indianapolis, IN",105735,2,-86.14996,39.76691
Embedded Software Engineer,"Washington, DC",109092,2,-77.03196,38.89037
Embedded Software Engineer,"Miami, FL",94429,2,-80.19773,25.77481
Embedded Software Engineer,"Pittsburgh, PA",94653,3,-79.99734,40.43851
Embedded Software Engineer,"New York City, NY",106814,2,-74.005974,40.712776
Embedded Software Engineer,"Los Angeles, CA",110600,3,-118.243683,34.052235
Embedded Software Engineer,"San Francisco, CA",113187,3,-122.419418,37.774929
Embedded Software Engineer,"San Jose, CA",116880,4,-121.88633,37.338207
Embedded Software Engineer,"Boston, MA",109366,3,-71.058884,42.360081
Embedded Software Engineer,"Chicago, IL",95906,3,-87.63245,41.88425
Embedded Software Engineer,"Houston, TX",103537,2,-95.36953,29.76079
Embedded Software Engineer,"Phoenix, AZ",103279,3,-112.0758,33.44826
Embedded Software Engineer,"Philadelphia, PA",96814,3,-75.16218,39.95223
Embedded Software Engineer,"San Antonio, TX",113725,2,-98.49461,29.42458
Embedded Software Engineer,"San Diego, CA",107254,3,-117.16171,32.71568
Embedded Software Engineer,"Dallas, TX",95945,3,-96.79512,32.77823
Embedded Software Engineer,"Indianapolis, IN",105735,2,-86.14996,39.76691
Embedded Software Engineer,"Washington, DC",109092,2,-77.03196,38.89037
Embedded Software Engineer,"Miami, FL",94429,2,-80.19773,25.77481
Embedded Software Engineer,"Pittsburgh, PA",94653,3,-79.99734,40.43851
Embedded Software Engineer,"Sacramento, CA",103609,2,-121.468926,38.555605
Embedded Software Engineer,"Denver, CO",104779,3,-104.984167,39.7391667
Embedded Software Engineer,"Hartford, CT",95972,2,-72.677,41.767
Embedded Software Engineer,"Tallahassee, FL",92788,2,-84.27277,30.4518
Embedded Software Engineer,"Atlanta, GA",105506,3,-84.39,33.76
Embedded Software Engineer,"Boise, ID",92392,3,-116.237651,43.613739
Embedded Software Engineer,"Springfield, IL",94897,3,-89.650373,39.78325
Embedded Software Engineer,"Des Moines, IA",102180,3,-93.620866,41.590939
Embedded Software Engineer,"Augusta, GA",71439,2,-69.765261,44.323535
Embedded Software Engineer,"Annapolis, MD",99866,4,-76.501157,38.972945
Embedded Software Engineer,"Lansing, MI",81436,2,-84.5467,42.7335
Embedded Software Engineer,"Saint Paul, MN",95946,3,-93.094,44.95
Embedded Software Engineer,"Lincoln, NE",96001,2,-96.675345,40.809868
Embedded Software Engineer,"Concord, NH",101485,3,-71.549127,43.220093
Embedded Software Engineer,"Trenton, NJ",108183,3,-74.756138,40.221741
Embedded Software Engineer,"Albany, NY",94441,2,-73.781339,42.659829
Embedded Software Engineer,"Raleigh, NC",103361,3,-78.638,35.771
Embedded Software Engineer,"Bismarck, ND",78966,2,-100.779004,48.813343
Embedded Software Engineer,"Columbus, OH",91162,2,-83.000647,39.962245
Embedded Software Engineer,"Oklahoma City, OK",96342,2,-97.534994,35.482309
Embedded Software Engineer,"Salem, OR",109157,2,-123.029159,44.931109
Embedded Software Engineer,"Providence, RI",96431,2,-71.422132,41.82355
Embedded Software Engineer,"Columbia, SC",100136,3,-81.035,34.0
Embedded Software Engineer,"Nashville, TN",110154,2,-86.784,36.165
Embedded Software Engineer,"Austin, TX",100759,3,-97.75,30.266667
Embedded Software Engineer,"Salt Lake City, UT",97799,3,-111.892622,40.7547
Embedded Software Engineer,"Seattle, WA",108640,3,-122.332069,47.606209
Embedded Software Engineer,"Madison, WI",85959,3,-89.384444,43.074722
