job,location,salary_med,demand,lon,lat
Hardware Design Engineer,"New York City, NY",107655,2,-74.005974,40.712776
Hardware Design Engineer,"Los Angeles, CA",107708,3,-118.243683,34.052235
Hardware Design Engineer,"San Francisco, CA",109855,3,-122.419418,37.774929
Hardware Design Engineer,"San Jose, CA",113783,4,-121.88633,37.338207
Hardware Design Engineer,"Boston, MA",106772,2,-71.058884,42.360081
Hardware Design Engineer,"Chicago, IL",92152,2,-87.63245,41.88425
Hardware Design Engineer,"Houston, TX",98301,2,-95.36953,29.76079
Hardware Design Engineer,"Phoenix, AZ",108959,2,-112.0758,33.44826
Hardware Design Engineer,"Philadelphia, PA",85169,2,-75.16218,39.95223
Hardware Design Engineer,"San Antonio, TX",76020,2,-98.49461,29.42458
Hardware Design Engineer,"San Diego, CA",103585,3,-117.16171,32.71568
Hardware Design Engineer,"Dallas, TX",92405,2,-96.79512,32.77823
Hardware Design Engineer,"Indianapolis, IN",80036,2,-86.14996,39.76691
Hardware Design Engineer,"Washington, DC",103561,2,-77.03196,38.89037
Hardware Design Engineer,"Miami, FL",106643,2,-80.19773,25.77481
Hardware Design Engineer,"Pittsburgh, PA",87516,3,-79.99734,40.43851
Hardware Design Engineer,"New York City, NY",107655,2,-74.005974,40.712776
Hardware Design Engineer,"Los Angeles, CA",107708,3,-118.243683,34.052235
Hardware Design Engineer,"San Francisco, CA",109855,3,-122.419418,37.774929
Hardware Design Engineer,"San Jose, CA",113783,4,-121.88633,37.338207
Hardware Design Engineer,"Boston, MA",106772,2,-71.058884,42.360081
Hardware Design Engineer,"Chicago, IL",92152,2,-87.63245,41.88425
Hardware Design Engineer,"Houston, TX",98301,2,-95.36953,29.76079
Hardware Design Engineer,"Phoenix, AZ",108959,2,-112.0758,33.44826
Hardware Design Engineer,"Philadelphia, PA",85169,2,-75.16218,39.95223
Hardware Design Engineer,"San Antonio, TX",76020,2,-98.49461,29.42458
Hardware Design Engineer,"San Diego, CA",103585,3,-117.16171,32.71568
Hardware Design Engineer,"Dallas, TX",92405,2,-96.79512,32.77823
Hardware Design Engineer,"Indianapolis, IN",80036,2,-86.14996,39.76691
Hardware Design Engineer,"Washington, DC",103561,2,-77.03196,38.89037
Hardware Design Engineer,"Miami, FL",106643,2,-80.19773,25.77481
Hardware Design Engineer,"Pittsburgh, PA",87516,3,-79.99734,40.43851
Hardware Design Engineer,"Montgomery, AL",103803,2,-86.279118,32.361538
Hardware Design Engineer,"Sacramento, CA",103117,2,-121.468926,38.555605
Hardware Design Engineer,"Denver, CO",123885,2,-104.984167,39.7391667
Hardware Design Engineer,"Hartford, CT",98797,2,-72.677,41.767
Hardware Design Engineer,"Atlanta, GA",103795,2,-84.39,33.76
Hardware Design Engineer,"Boise, ID",95869,3,-116.237651,43.613739
Hardware Design Engineer,"Springfield, IL",76060,2,-89.650373,39.78325
Hardware Design Engineer,"Des Moines, IA",52553,2,-93.620866,41.590939
Hardware Design Engineer,"Augusta, GA",107871,2,-69.765261,44.323535
Hardware Design Engineer,"Annapolis, MD",94618,3,-76.501157,38.972945
Hardware Design Engineer,"Saint Paul, MN",95982,2,-93.094,44.95
Hardware Design Engineer,"Trenton, NJ",89058,2,-74.756138,40.221741
Hardware Design Engineer,"Albany, NY",96338,2,-73.781339,42.659829
Hardware Design Engineer,"Raleigh, NC",96489,3,-78.638,35.771
Hardware Design Engineer,"Columbus, OH",96264,2,-83.000647,39.962245
Hardware Design Engineer,"Oklahoma City, OK",72269,2,-97.534994,35.482309
Hardware Design Engineer,"Columbia, SC",103294,2,-81.035,34.0
Hardware Design Engineer,"Nashville, TN",90416,2,-86.784,36.165
Hardware Design Engineer,"Austin, TX",101018,3,-97.75,30.266667
Hardware Design Engineer,"Salt Lake City, UT",90857,3,-111.892622,40.7547
Hardware Design Engineer,"Seattle, WA",106961,3,-122.332069,47.606209
Hardware Design Engineer,"Madison, WI",88204,2,-89.384444,43.074722
