job,location,salary_med,demand,lon,lat
Integrated Circuit (IC) Design Engineer,"New York City, NY",105560,2,-74.005974,40.712776
Integrated Circuit (IC) Design Engineer,"Los Angeles, CA",102932,2,-118.243683,34.052235
Integrated Circuit (IC) Design Engineer,"San Francisco, CA",125630,2,-122.419418,37.774929
Integrated Circuit (IC) Design Engineer,"San Jose, CA",121848,3,-121.88633,37.338207
Integrated Circuit (IC) Design Engineer,"Boston, MA",110355,2,-71.058884,42.360081
Integrated Circuit (IC) Design Engineer,"Chicago, IL",89793,2,-87.63245,41.88425
Integrated Circuit (IC) Design Engineer,"Houston, TX",95378,2,-95.36953,29.76079
Integrated Circuit (IC) Design Engineer,"Phoenix, AZ",102106,2,-112.0758,33.44826
Integrated Circuit (IC) Design Engineer,"Philadelphia, PA",98070,2,-75.16218,39.95223
Integrated Circuit (IC) Design Engineer,"San Antonio, TX",114768,2,-98.49461,29.42458
Integrated Circuit (IC) Design Engineer,"San Diego, CA",108896,3,-117.16171,32.71568
Integrated Circuit (IC) Design Engineer,"Dallas, TX",94175,2,-96.79512,32.77823
Integrated Circuit (IC) Design Engineer,"Indianapolis, IN",110542,2,-86.14996,39.76691
Integrated Circuit (IC) Design Engineer,"Washington, DC",107639,2,-77.03196,38.89037
Integrated Circuit (IC) Design Engineer,"Pittsburgh, PA",75645,2,-79.99734,40.43851
Integrated Circuit (IC) Design Engineer,"New York City, NY",105560,2,-74.005974,40.712776
Integrated Circuit (IC) Design Engineer,"Los Angeles, CA",102932,2,-118.243683,34.052235
Integrated Circuit (IC) Design Engineer,"San Francisco, CA",125630,2,-122.419418,37.774929
Integrated Circuit (IC) Design Engineer,"San Jose, CA",121848,3,-121.88633,37.338207
Integrated Circuit (IC) Design Engineer,"Boston, MA",110355,2,-71.058884,42.360081
Integrated Circuit (IC) Design Engineer,"Chicago, IL",89793,2,-87.63245,41.88425
Integrated Circuit (IC) Design Engineer,"Houston, TX",95378,2,-95.36953,29.76079
Integrated Circuit (IC) Design Engineer,"Phoenix, AZ",102106,2,-112.0758,33.44826
Integrated Circuit (IC) Design Engineer,"Philadelphia, PA",98070,2,-75.16218,39.95223
Integrated Circuit (IC) Design Engineer,"San Antonio, TX",114768,2,-98.49461,29.42458
Integrated Circuit (IC) Design Engineer,"San Diego, CA",108896,3,-117.16171,32.71568
Integrated Circuit (IC) Design Engineer,"Dallas, TX",94175,2,-96.79512,32.77823
Integrated Circuit (IC) Design Engineer,"Indianapolis, IN",110542,2,-86.14996,39.76691
Integrated Circuit (IC) Design Engineer,"Washington, DC",107639,2,-77.03196,38.89037
Integrated Circuit (IC) Design Engineer,"Pittsburgh, PA",75645,2,-79.99734,40.43851
Integrated Circuit (IC) Design Engineer,"Sacramento, CA",85391,2,-121.468926,38.555605
Integrated Circuit (IC) Design Engineer,"Denver, CO",114429,2,-104.984167,39.7391667
Integrated Circuit (IC) Design Engineer,"Tallahassee, FL",61329,2,-84.27277,30.4518
Integrated Circuit (IC) Design Engineer,"Atlanta, GA",98018,2,-84.39,33.76
Integrated Circuit (IC) Design Engineer,"Boise, ID",101896,2,-116.237651,43.613739
Integrated Circuit (IC) Design Engineer,"Baton Rouge, LA",109716,2,-91.140229,30.45809
Integrated Circuit (IC) Design Engineer,"Augusta, GA",80018,2,-69.765261,44.323535
Integrated Circuit (IC) Design Engineer,"Annapolis, MD",104849,2,-76.501157,38.972945
Integrated Circuit (IC) Design Engineer,"Saint Paul, MN",103064,2,-93.094,44.95
Integrated Circuit (IC) Design Engineer,"Trenton, NJ",104772,2,-74.756138,40.221741
Integrated Circuit (IC) Design Engineer,"Albany, NY",69080,2,-73.781339,42.659829
Integrated Circuit (IC) Design Engineer,"Raleigh, NC",110048,2,-78.638,35.771
Integrated Circuit (IC) Design Engineer,"Columbus, OH",94901,2,-83.000647,39.962245
Integrated Circuit (IC) Design Engineer,"Columbia, SC",88140,2,-81.035,34.0
Integrated Circuit (IC) Design Engineer,"Austin, TX",106749,2,-97.75,30.266667
Integrated Circuit (IC) Design Engineer,"Seattle, WA",107251,2,-122.332069,47.606209
Integrated Circuit (IC) Design Engineer,"Madison, WI",97775,2,-89.384444,43.074722
