job,location,salary_med,demand,lon,lat
Network Engineer / Architect,"New York City, NY",114868,5,-74.005974,40.712776
Network Engineer / Architect,"Los Angeles, CA",111223,5,-118.243683,34.052235
Network Engineer / Architect,"San Francisco, CA",119267,5,-122.419418,37.774929
Network Engineer / Architect,"San Jose, CA",120216,5,-121.88633,37.338207
Network Engineer / Architect,"Boston, MA",112915,5,-71.058884,42.360081
Network Engineer / Architect,"Chicago, IL",111096,5,-87.63245,41.88425
Network Engineer / Architect,"Houston, TX",106519,5,-95.36953,29.76079
Network Engineer / Architect,"Phoenix, AZ",103655,5,-112.0758,33.44826
Network Engineer / Architect,"Philadelphia, PA",106413,5,-75.16218,39.95223
Network Engineer / Architect,"San Antonio, TX",94056,5,-98.49461,29.42458
Network Engineer / Architect,"San Diego, CA",105142,5,-117.16171,32.71568
Network Engineer / Architect,"Dallas, TX",106871,5,-96.79512,32.77823
Network Engineer / Architect,"Indianapolis, IN",104221,5,-86.14996,39.76691
Network Engineer / Architect,"Washington, DC",108671,5,-77.03196,38.89037
Network Engineer / Architect,"Miami, FL",102817,5,-80.19773,25.77481
Network Engineer / Architect,"Pittsburgh, PA",99941,5,-79.99734,40.43851
Network Engineer / Architect,"New York City, NY",114868,5,-74.005974,40.712776
Network Engineer / Architect,"Los Angeles, CA",111223,5,-118.243683,34.052235
Network Engineer / Architect,"San Francisco, CA",119267,5,-122.419418,37.774929
Network Engineer / Architect,"San Jose, CA",120216,5,-121.88633,37.338207
Network Engineer / Architect,"Boston, MA",112915,5,-71.058884,42.360081
Network Engineer / Architect,"Chicago, IL",111096,5,-87.63245,41.88425
Network Engineer / Architect,"Houston, TX",106519,5,-95.36953,29.76079
Network Engineer / Architect,"Phoenix, AZ",103655,5,-112.0758,33.44826
Network Engineer / Architect,"Philadelphia, PA",106413,5,-75.16218,39.95223
Network Engineer / Architect,"San Antonio, TX",94056,5,-98.49461,29.42458
Network Engineer / Architect,"San Diego, CA",105142,5,-117.16171,32.71568
Network Engineer / Architect,"Dallas, TX",106871,5,-96.79512,32.77823
Network Engineer / Architect,"Indianapolis, IN",104221,5,-86.14996,39.76691
Network Engineer / Architect,"Washington, DC",108671,5,-77.03196,38.89037
Network Engineer / Architect,"Miami, FL",102817,5,-80.19773,25.77481
Network Engineer / Architect,"Pittsburgh, PA",99941,5,-79.99734,40.43851
Network Engineer / Architect,"Montgomery, AL",108027,5,-86.279118,32.361538
Network Engineer / Architect,"Little Rock, AR",91299,4,-92.331122,34.736009
Network Engineer / Architect,"Sacramento, CA",107367,5,-121.468926,38.555605
Network Engineer / Architect,"Denver, CO",109782,5,-104.984167,39.7391667
Network Engineer / Architect,"Hartford, CT",111246,5,-72.677,41.767
Network Engineer / Architect,"Dover, DE",105726,5,-75.526755,39.161921
Network Engineer / Architect,"Tallahassee, FL",94836,5,-84.27277,30.4518
Network Engineer / Architect,"Atlanta, GA",110037,5,-84.39,33.76
Network Engineer / Architect,"Boise, ID",96849,4,-116.237651,43.613739
Network Engineer / Architect,"Springfield, IL",99133,4,-89.650373,39.78325
Network Engineer / Architect,"Des Moines, IA",103145,5,-93.620866,41.590939
Network Engineer / Architect,"Topeka, KS",99444,5,-95.69,39.04
Network Engineer / Architect,"Frankfort, KY",102467,5,-84.86311,38.197274
Network Engineer / Architect,"Baton Rouge, LA",95945,4,-91.140229,30.45809
Network Engineer / Architect,"Augusta, GA",81726,5,-69.765261,44.323535
Network Engineer / Architect,"Annapolis, MD",97618,5,-76.501157,38.972945
Network Engineer / Architect,"Lansing, MI",99904,5,-84.5467,42.7335
Network Engineer / Architect,"Saint Paul, MN",112935,4,-93.094,44.95
Network Engineer / Architect,"Jefferson City, MO",109240,5,-92.189283,38.572954
Network Engineer / Architect,"Lincoln, NE",87325,4,-96.675345,40.809868
Network Engineer / Architect,"Carson City, NV",102042,4,-119.753877,39.160949
Network Engineer / Architect,"Concord, NH",111126,4,-71.549127,43.220093
Network Engineer / Architect,"Trenton, NJ",106213,5,-74.756138,40.221741
Network Engineer / Architect,"Santa Fe, NM",89874,5,-105.964575,35.667231
Network Engineer / Architect,"Albany, NY",103436,5,-73.781339,42.659829
Network Engineer / Architect,"Raleigh, NC",99786,5,-78.638,35.771
Network Engineer / Architect,"Bismarck, ND",108703,4,-100.779004,48.813343
Network Engineer / Architect,"Columbus, OH",104369,5,-83.000647,39.962245
Network Engineer / Architect,"Oklahoma City, OK",87565,4,-97.534994,35.482309
Network Engineer / Architect,"Salem, OR",98137,4,-123.029159,44.931109
Network Engineer / Architect,"Providence, RI",111028,5,-71.422132,41.82355
Network Engineer / Architect,"Columbia, SC",87798,5,-81.035,34.0
Network Engineer / Architect,"Pierre, SD",110858,5,-100.336378,44.367966
Network Engineer / Architect,"Nashville, TN",98015,4,-86.784,36.165
Network Engineer / Architect,"Austin, TX",107282,5,-97.75,30.266667
Network Engineer / Architect,"Salt Lake City, UT",92275,5,-111.892622,40.7547
Network Engineer / Architect,"Montpelier, VT",107656,5,-72.57194,44.26639
Network Engineer / Architect,"Seattle, WA",112212,5,-122.332069,47.606209
Network Engineer / Architect,"Charleston, WV",95860,4,-81.633294,38.349497
Network Engineer / Architect,"Madison, WI",87409,5,-89.384444,43.074722
Network Engineer / Architect,"Cheyenne, WY",103809,5,-104.802042,41.145548
