job,location,salary_med,demand,lon,lat
Systems Analyst,"New York City, NY",91834,4,-74.005974,40.712776
Systems Analyst,"Los Angeles, CA",91084,3,-118.243683,34.052235
Systems Analyst,"San Francisco, CA",95473,4,-122.419418,37.774929
Systems Analyst,"San Jose, CA",104753,4,-121.88633,37.338207
Systems Analyst,"Boston, MA",91933,4,-71.058884,42.360081
Systems Analyst,"Chicago, IL",88849,4,-87.63245,41.88425
Systems Analyst,"Houston, TX",88574,4,-95.36953,29.76079
Systems Analyst,"Phoenix, AZ",81133,4,-112.0758,33.44826
Systems Analyst,"Philadelphia, PA",84338,4,-75.16218,39.95223
Systems Analyst,"San Antonio, TX",78397,4,-98.49461,29.42458
Systems Analyst,"San Diego, CA",82954,4,-117.16171,32.71568
Systems Analyst,"Dallas, TX",85616,4,-96.79512,32.77823
Systems Analyst,"Indianapolis, IN",77290,4,-86.14996,39.76691
Systems Analyst,"Washington, DC",89866,4,-77.03196,38.89037
Systems Analyst,"Miami, FL",79695,3,-80.19773,25.77481
Systems Analyst,"Pittsburgh, PA",75745,4,-79.99734,40.43851
Systems Analyst,"New York City, NY",91834,4,-74.005974,40.712776
Systems Analyst,"Los Angeles, CA",91084,3,-118.243683,34.052235
Systems Analyst,"San Francisco, CA",95473,4,-122.419418,37.774929
Systems Analyst,"San Jose, CA",104753,4,-121.88633,37.338207
Systems Analyst,"Boston, MA",91933,4,-71.058884,42.360081
Systems Analyst,"Chicago, IL",88849,4,-87.63245,41.88425
Systems Analyst,"Houston, TX",88574,4,-95.36953,29.76079
Systems Analyst,"Phoenix, AZ",81133,4,-112.0758,33.44826
Systems Analyst,"Philadelphia, PA",84338,4,-75.16218,39.95223
Systems Analyst,"San Antonio, TX",78397,4,-98.49461,29.42458
Systems Analyst,"San Diego, CA",82954,4,-117.16171,32.71568
Systems Analyst,"Dallas, TX",85616,4,-96.79512,32.77823
Systems Analyst,"Indianapolis, IN",77290,4,-86.14996,39.76691
Systems Analyst,"Washington, DC",89866,4,-77.03196,38.89037
Systems Analyst,"Miami, FL",79695,3,-80.19773,25.77481
Systems Analyst,"Pittsburgh, PA",75745,4,-79.99734,40.43851
Systems Analyst,"Montgomery, AL",86216,3,-86.279118,32.361538
Systems Analyst,"Little Rock, AR",67090,3,-92.331122,34.736009
Systems Analyst,"Sacramento, CA",85276,3,-121.468926,38.555605
Systems Analyst,"Denver, CO",84586,4,-104.984167,39.7391667
Systems Analyst,"Hartford, CT",87048,4,-72.677,41.767
Systems Analyst,"Dover, DE",75275,3,-75.526755,39.161921
Systems Analyst,"Tallahassee, FL",55579,4,-84.27277,30.4518
Systems Analyst,"Atlanta, GA",91337,4,-84.39,33.76
Systems Analyst,"Boise, ID",80157,3,-116.237651,43.613739
Systems Analyst,"Springfield, IL",67935,4,-89.650373,39.78325
Systems Analyst,"Des Moines, IA",78973,4,-93.620866,41.590939
Systems Analyst,"Topeka, KS",61300,3,-95.69,39.04
Systems Analyst,"Frankfort, KY",68711,4,-84.86311,38.197274
Systems Analyst,"Baton Rouge, LA",67037,4,-91.140229,30.45809
Systems Analyst,"Augusta, GA",74783,3,-69.765261,44.323535
Systems Analyst,"Annapolis, MD",81335,4,-76.501157,38.972945
Systems Analyst,"Lansing, MI",72538,4,-84.5467,42.7335
Systems Analyst,"Saint Paul, MN",85524,3,-93.094,44.95
Systems Analyst,"Jefferson City, MO",40803,4,-92.189283,38.572954
Systems Analyst,"Lincoln, NE",76224,3,-96.675345,40.809868
Systems Analyst,"Carson City, NV",65896,3,-119.753877,39.160949
Systems Analyst,"Concord, NH",67914,4,-71.549127,43.220093
Systems Analyst,"Trenton, NJ",94284,4,-74.756138,40.221741
Systems Analyst,"Santa Fe, NM",64430,3,-105.964575,35.667231
Systems Analyst,"Albany, NY",87390,4,-73.781339,42.659829
Systems Analyst,"Raleigh, NC",80110,4,-78.638,35.771
Systems Analyst,"Bismarck, ND",73921,3,-100.779004,48.813343
Systems Analyst,"Columbus, OH",82995,4,-83.000647,39.962245
Systems Analyst,"Oklahoma City, OK",68432,3,-97.534994,35.482309
Systems Analyst,"Salem, OR",70682,3,-123.029159,44.931109
Systems Analyst,"Providence, RI",86974,3,-71.422132,41.82355
Systems Analyst,"Columbia, SC",81325,4,-81.035,34.0
Systems Analyst,"Pierre, SD",64892,3,-100.336378,44.367966
Systems Analyst,"Nashville, TN",83882,3,-86.784,36.165
Systems Analyst,"Austin, TX",84817,4,-97.75,30.266667
Systems Analyst,"Salt Lake City, UT",71927,3,-111.892622,40.7547
Systems Analyst,"Montpelier, VT",71795,4,-72.57194,44.26639
Systems Analyst,"Seattle, WA",86421,4,-122.332069,47.606209
Systems Analyst,"Charleston, WV",70455,3,-81.633294,38.349497
Systems Analyst,"Madison, WI",69100,4,-89.384444,43.074722
Systems Analyst,"Cheyenne, WY",68605,3,-104.802042,41.145548
