job,location,salary_med,demand,lon,lat
Telecommunications Network Technician,"New York City, NY",53996,2,-74.005974,40.712776
Telecommunications Network Technician,"Los Angeles, CA",50176,2,-118.243683,34.052235
Telecommunications Network Technician,"San Francisco, CA",52205,2,-122.419418,37.774929
Telecommunications Network Technician,"San Jose, CA",59325,2,-121.88633,37.338207
Telecommunications Network Technician,"Boston, MA",45103,2,-71.058884,42.360081
Telecommunications Network Technician,"Chicago, IL",52205,2,-87.63245,41.88425
Telecommunications Network Technician,"Houston, TX",42083,2,-95.36953,29.76079
Telecommunications Network Technician,"Phoenix, AZ",44786,2,-112.0758,33.44826
Telecommunications Network Technician,"Philadelphia, PA",47152,2,-75.16218,39.95223
Telecommunications Network Technician,"San Antonio, TX",38071,2,-98.49461,29.42458
Telecommunications Network Technician,"San Diego, CA",44939,2,-117.16171,32.71568
Telecommunications Network Technician,"Dallas, TX",46958,2,-96.79512,32.77823
Telecommunications Network Technician,"Indianapolis, IN",40765,2,-86.14996,39.76691
Telecommunications Network Technician,"Washington, DC",41070,2,-77.03196,38.89037
Telecommunications Network Technician,"Miami, FL",43508,2,-80.19773,25.77481
Telecommunications Network Technician,"Pittsburgh, PA",38346,2,-79.99734,40.43851
Telecommunications Network Technician,"New York City, NY",53996,2,-74.005974,40.712776
Telecommunications Network Technician,"Los Angeles, CA",50176,2,-118.243683,34.052235
Telecommunications Network Technician,"San Francisco, CA",52205,2,-122.419418,37.774929
Telecommunications Network Technician,"San Jose, CA",59325,2,-121.88633,37.338207
Telecommunications Network Technician,"Boston, MA",45103,2,-71.058884,42.360081
Telecommunications Network Technician,"Chicago, IL",52205,2,-87.63245,41.88425
Telecommunications Network Technician,"Houston, TX",42083,2,-95.36953,29.76079
Telecommunications Network Technician,"Phoenix, AZ",44786,2,-112.0758,33.44826
Telecommunications Network Technician,"Philadelphia, PA",47152,2,-75.16218,39.95223
Telecommunications Network Technician,"San Antonio, TX",38071,2,-98.49461,29.42458
Telecommunications Network Technician,"San Diego, CA",44939,2,-117.16171,32.71568
Telecommunications Network Technician,"Dallas, TX",46958,2,-96.79512,32.77823
Telecommunications Network Technician,"Indianapolis, IN",40765,2,-86.14996,39.76691
Telecommunications Network Technician,"Washington, DC",41070,2,-77.03196,38.89037
Telecommunications Network Technician,"Miami, FL",43508,2,-80.19773,25.77481
Telecommunications Network Technician,"Pittsburgh, PA",38346,2,-79.99734,40.43851
Telecommunications Network Technician,"Montgomery, AL",57494,2,-86.279118,32.361538
Telecommunications Network Technician,"Little Rock, AR",46862,2,-92.331122,34.736009
Telecommunications Network Technician,"Sacramento, CA",49298,3,-121.468926,38.555605
Telecommunications Network Technician,"Denver, CO",48087,2,-104.984167,39.7391667
Telecommunications Network Technician,"Hartford, CT",54312,2,-72.677,41.767
Telecommunications Network Technician,"Dover, DE",31115,2,-75.526755,39.161921
Telecommunications Network Technician,"Tallahassee, FL",39843,2,-84.27277,30.4518
Telecommunications Network Technician,"Atlanta, GA",46886,2,-84.39,33.76
Telecommunications Network Technician,"Boise, ID",42837,2,-116.237651,43.613739
Telecommunications Network Technician,"Des Moines, IA",43978,2,-93.620866,41.590939
Telecommunications Network Technician,"Frankfort, KY",35910,2,-84.86311,38.197274
Telecommunications Network Technician,"Baton Rouge, LA",34908,2,-91.140229,30.45809
Telecommunications Network Technician,"Augusta, GA",48140,2,-69.765261,44.323535
Telecommunications Network Technician,"Annapolis, MD",43502,3,-76.501157,38.972945
Telecommunications Network Technician,"Lansing, MI",69336,2,-84.5467,42.7335
Telecommunications Network Technician,"Saint Paul, MN",31650,2,-93.094,44.95
Telecommunications Network Technician,"Jefferson City, MO",42019,2,-92.189283,38.572954
Telecommunications Network Technician,"Lincoln, NE",64448,2,-96.675345,40.809868
Telecommunications Network Technician,"Concord, NH",39359,2,-71.549127,43.220093
Telecommunications Network Technician,"Trenton, NJ",79115,2,-74.756138,40.221741
Telecommunications Network Technician,"Albany, NY",60045,3,-73.781339,42.659829
Telecommunications Network Technician,"Raleigh, NC",38223,2,-78.638,35.771
Telecommunications Network Technician,"Columbus, OH",34546,2,-83.000647,39.962245
Telecommunications Network Technician,"Oklahoma City, OK",39850,3,-97.534994,35.482309
Telecommunications Network Technician,"Salem, OR",34655,2,-123.029159,44.931109
Telecommunications Network Technician,"Providence, RI",34976,2,-71.422132,41.82355
Telecommunications Network Technician,"Columbia, SC",37495,2,-81.035,34.0
Telecommunications Network Technician,"Nashville, TN",48635,2,-86.784,36.165
Telecommunications Network Technician,"Austin, TX",44381,2,-97.75,30.266667
Telecommunications Network Technician,"Salt Lake City, UT",41053,2,-111.892622,40.7547
Telecommunications Network Technician,"Seattle, WA",51366,2,-122.332069,47.606209
Telecommunications Network Technician,"Madison, WI",45975,2,-89.384444,43.074722
Telecommunications Network Technician,"Cheyenne, WY",32883,3,-104.802042,41.145548
