location,job,salary_med,demand
"Albany, NY",Software Developer / Engineer,90247,5
"Albany, NY",IT manager,98975,3
"Albany, NY",Web Developer,89714,5
"Albany, NY",Database Administrator,85407,4
"Albany, NY",Cyber Security Analyst,80662,3
"Albany, NY",Systems Analyst,87390,4
"Albany, NY",Network Engineer / Architect,103436,5
"Albany, NY",Integrated Circuit (IC) Design Engineer,69080,2
"Albany, NY",Hardware Design Engineer,96338,2
"Albany, NY",Embedded Software Engineer,94441,2
"Albany, NY",Electrical Design Engineer,78463,2
"Albany, NY",Telecommunications Network Technician,60045,3
"Albany, NY",Data Scientist,109770,3
