location,job,salary_med,demand
"Annapolis, MD",Software Developer / Engineer,94554,5
"Annapolis, MD",IT manager,100508,3
"Annapolis, MD",Web Developer,82903,3
"Annapolis, MD",Database Administrator,79416,4
"Annapolis, MD",Cyber Security Analyst,85980,4
"Annapolis, MD",Systems Analyst,81335,4
"Annapolis, MD",Network Engineer / Architect,97618,5
"Annapolis, MD",Integrated Circuit (IC) Design Engineer,104849,2
"Annapolis, MD",Hardware Design Engineer,94618,3
"Annapolis, MD",Embedded Software Engineer,99866,4
"Annapolis, MD",Electrical Design Engineer,79422,3
"Annapolis, MD",Telecommunications Network Technician,43502,3
"Annapolis, MD",Data Scientist,109426,3
