location,job,salary_med,demand
"Atlanta, GA",Software Developer / Engineer,97614,5
"Atlanta, GA",IT manager,106644,4
"Atlanta, GA",Web Developer,86411,4
"Atlanta, GA",Database Administrator,88042,5
"Atlanta, GA",Cyber Security Analyst,84967,4
"Atlanta, GA",Systems Analyst,91337,4
"Atlanta, GA",Network Engineer / Architect,110037,5
"Atlanta, GA",Integrated Circuit (IC) Design Engineer,98018,2
"Atlanta, GA",Hardware Design Engineer,103795,2
"Atlanta, GA",Embedded Software Engineer,105506,3
"Atlanta, GA",Electrical Design Engineer,89073,3
"Atlanta, GA",Telecommunications Network Technician,46886,2
"Atlanta, GA",Data Scientist,112454,4
