location,job,salary_med,demand
"Augusta, GA",Software Developer / Engineer,75542,5
"Augusta, GA",IT manager,84316,3
"Augusta, GA",Web Developer,72599,3
"Augusta, GA",Database Administrator,61183,3
"Augusta, GA",Cyber Security Analyst,78790,4
"Augusta, GA",Systems Analyst,74783,3
"Augusta, GA",Network Engineer / Architect,81726,5
"Augusta, GA",Integrated Circuit (IC) Design Engineer,80018,2
"Augusta, GA",Hardware Design Engineer,107871,2
"Augusta, GA",Embedded Software Engineer,71439,2
"Augusta, GA",Electrical Design Engineer,83119,3
"Augusta, GA",Telecommunications Network Technician,48140,2
"Augusta, GA",Data Scientist,116793,3
