location,job,salary_med,demand
"Austin, TX",Software Developer / Engineer,97600,5
"Austin, TX",IT manager,99227,3
"Austin, TX",Web Developer,85670,4
"Austin, TX",Database Administrator,86907,4
"Austin, TX",Cyber Security Analyst,86267,4
"Austin, TX",Systems Analyst,84817,4
"Austin, TX",Network Engineer / Architect,107282,5
"Austin, TX",Integrated Circuit (IC) Design Engineer,106749,2
"Austin, TX",Hardware Design Engineer,101018,3
"Austin, TX",Embedded Software Engineer,100759,3
"Austin, TX",Electrical Design Engineer,102795,3
"Austin, TX",Telecommunications Network Technician,44381,2
"Austin, TX",Data Scientist,111930,4
