location,job,salary_med,demand
"Baton Rouge, LA",Software Developer / Engineer,84483,5
"Baton Rouge, LA",IT manager,92281,3
"Baton Rouge, LA",Web Developer,69448,3
"Baton Rouge, LA",Database Administrator,90402,4
"Baton Rouge, LA",Cyber Security Analyst,86844,3
"Baton Rouge, LA",Systems Analyst,67037,4
"Baton Rouge, LA",Network Engineer / Architect,95945,4
"Baton Rouge, LA",Integrated Circuit (IC) Design Engineer,109716,2
"Baton Rouge, LA",Electrical Design Engineer,96477,2
"Baton Rouge, LA",Telecommunications Network Technician,34908,2
"Baton Rouge, LA",Data Scientist,103310,3
