location,job,salary_med,demand
"Boise, ID",Software Developer / Engineer,84301,5
"Boise, ID",IT manager,95227,3
"Boise, ID",Web Developer,77569,3
"Boise, ID",Database Administrator,82103,4
"Boise, ID",Cyber Security Analyst,77385,3
"Boise, ID",Systems Analyst,80157,3
"Boise, ID",Network Engineer / Architect,96849,4
"Boise, ID",Integrated Circuit (IC) Design Engineer,101896,2
"Boise, ID",Hardware Design Engineer,95869,3
"Boise, ID",Embedded Software Engineer,92392,3
"Boise, ID",Electrical Design Engineer,105141,3
"Boise, ID",Telecommunications Network Technician,42837,2
"Boise, ID",Data Scientist,111496,3
