location,job,salary_med,demand
"Boston, MA",Software Developer / Engineer,102571,5
"Boston, MA",IT manager,112605,4
"Boston, MA",Web Developer,84899,4
"Boston, MA",Database Administrator,87530,4
"Boston, MA",Cyber Security Analyst,85786,3
"Boston, MA",Systems Analyst,91933,4
"Boston, MA",Network Engineer / Architect,112915,5
"Boston, MA",Integrated Circuit (IC) Design Engineer,110355,2
"Boston, MA",Hardware Design Engineer,106772,2
"Boston, MA",Embedded Software Engineer,109366,3
"Boston, MA",Electrical Design Engineer,91548,2
"Boston, MA",Telecommunications Network Technician,45103,2
"Boston, MA",Data Scientist,115173,4
"Boston, MA",Software Developer / Engineer,102571,5
"Boston, MA",IT manager,112605,4
"Boston, MA",Web Developer,84899,4
"Boston, MA",Database Administrator,87530,4
"Boston, MA",Cyber Security Analyst,85786,3
"Boston, MA",Systems Analyst,91933,4
"Boston, MA",Network Engineer / Architect,112915,5
"Boston, MA",Integrated Circuit (IC) Design Engineer,110355,2
"Boston, MA",Hardware Design Engineer,106772,2
"Boston, MA",Embedded Software Engineer,109366,3
"Boston, MA",Electrical Design Engineer,91548,2
"Boston, MA",Telecommunications Network Technician,45103,2
"Boston, MA",Data Scientist,115173,4
