location,job,salary_med,demand
"Chicago, IL",Software Developer / Engineer,95953,5
"Chicago, IL",IT manager,105750,3
"Chicago, IL",Web Developer,82863,3
"Chicago, IL",Database Administrator,89327,4
"Chicago, IL",Cyber Security Analyst,86772,3
"Chicago, IL",Systems Analyst,88849,4
"Chicago, IL",Network Engineer / Architect,111096,5
"Chicago, IL",Integrated Circuit (IC) Design Engineer,89793,2
"Chicago, IL",Hardware Design Engineer,92152,2
"Chicago, IL",Embedded Software Engineer,95906,3
"Chicago, IL",Electrical Design Engineer,83757,3
"Chicago, IL",Telecommunications Network Technician,52205,2
"Chicago, IL",Data Scientist,113915,4
"Chicago, IL",Software Developer / Engineer,95953,5
"Chicago, IL",IT manager,105750,3
"Chicago, IL",Web Developer,82863,3
"Chicago, IL",Database Administrator,89327,4
"Chicago, IL",Cyber Security Analyst,86772,3
"Chicago, IL",Systems Analyst,88849,4
"Chicago, IL",Network Engineer / Architect,111096,5
"Chicago, IL",Integrated Circuit (IC) Design Engineer,89793,2
"Chicago, IL",Hardware Design Engineer,92152,2
"Chicago, IL",Embedded Software Engineer,95906,3
"Chicago, IL",Electrical Design Engineer,83757,3
"Chicago, IL",Telecommunications Network Technician,52205,2
"Chicago, IL",Data Scientist,113915,4
