location,job,salary_med,demand
"Columbia, SC",Software Developer / Engineer,87317,5
"Columbia, SC",IT manager,95178,3
"Columbia, SC",Web Developer,90680,3
"Columbia, SC",Database Administrator,78918,4
"Columbia, SC",Cyber Security Analyst,75438,5
"Columbia, SC",Systems Analyst,81325,4
"Columbia, SC",Network Engineer / Architect,87798,5
"Columbia, SC",Integrated Circuit (IC) Design Engineer,88140,2
"Columbia, SC",Hardware Design Engineer,103294,2
"Columbia, SC",Embedded Software Engineer,100136,3
"Columbia, SC",Electrical Design Engineer,73730,2
"Columbia, SC",Telecommunications Network Technician,37495,2
"Columbia, SC",Data Scientist,111462,3
