location,job,salary_med,demand
"Columbus, OH",Software Developer / Engineer,93620,5
"Columbus, OH",IT manager,94403,3
"Columbus, OH",Web Developer,81234,4
"Columbus, OH",Database Administrator,86823,5
"Columbus, OH",Cyber Security Analyst,82224,3
"Columbus, OH",Systems Analyst,82995,4
"Columbus, OH",Network Engineer / Architect,104369,5
"Columbus, OH",Integrated Circuit (IC) Design Engineer,94901,2
"Columbus, OH",Hardware Design Engineer,96264,2
"Columbus, OH",Embedded Software Engineer,91162,2
"Columbus, OH",Electrical Design Engineer,83191,2
"Columbus, OH",Telecommunications Network Technician,34546,2
"Columbus, OH",Data Scientist,111739,3
