location,job,salary_med,demand
"Dallas, TX",Software Developer / Engineer,95500,5
"Dallas, TX",IT manager,104529,3
"Dallas, TX",Web Developer,87329,3
"Dallas, TX",Database Administrator,90492,4
"Dallas, TX",Cyber Security Analyst,83905,4
"Dallas, TX",Systems Analyst,85616,4
"Dallas, TX",Network Engineer / Architect,106871,5
"Dallas, TX",Integrated Circuit (IC) Design Engineer,94175,2
"Dallas, TX",Hardware Design Engineer,92405,2
"Dallas, TX",Embedded Software Engineer,95945,3
"Dallas, TX",Electrical Design Engineer,91660,3
"Dallas, TX",Telecommunications Network Technician,46958,2
"Dallas, TX",Data Scientist,110779,3
"Dallas, TX",Software Developer / Engineer,95500,5
"Dallas, TX",IT manager,104529,3
"Dallas, TX",Web Developer,87329,3
"Dallas, TX",Database Administrator,90492,4
"Dallas, TX",Cyber Security Analyst,83905,4
"Dallas, TX",Systems Analyst,85616,4
"Dallas, TX",Network Engineer / Architect,106871,5
"Dallas, TX",Integrated Circuit (IC) Design Engineer,94175,2
"Dallas, TX",Hardware Design Engineer,92405,2
"Dallas, TX",Embedded Software Engineer,95945,3
"Dallas, TX",Electrical Design Engineer,91660,3
"Dallas, TX",Telecommunications Network Technician,46958,2
"Dallas, TX",Data Scientist,110779,3
