location,job,salary_med,demand
"Denver, CO",Software Developer / Engineer,94755,5
"Denver, CO",IT manager,100193,3
"Denver, CO",Web Developer,80746,3
"Denver, CO",Database Administrator,84346,4
"Denver, CO",Cyber Security Analyst,83107,4
"Denver, CO",Systems Analyst,84586,4
"Denver, CO",Network Engineer / Architect,109782,5
"Denver, CO",Integrated Circuit (IC) Design Engineer,114429,2
"Denver, CO",Hardware Design Engineer,123885,2
"Denver, CO",Embedded Software Engineer,104779,3
"Denver, CO",Electrical Design Engineer,82464,2
"Denver, CO",Telecommunications Network Technician,48087,2
"Denver, CO",Data Scientist,108564,3
