location,job,salary_med,demand
"Des Moines, IA",Software Developer / Engineer,90626,5
"Des Moines, IA",IT manager,94813,3
"Des Moines, IA",Web Developer,82406,3
"Des Moines, IA",Database Administrator,85727,4
"Des Moines, IA",Cyber Security Analyst,76290,4
"Des Moines, IA",Systems Analyst,78973,4
"Des Moines, IA",Network Engineer / Architect,103145,5
"Des Moines, IA",Hardware Design Engineer,52553,2
"Des Moines, IA",Embedded Software Engineer,102180,3
"Des Moines, IA",Electrical Design Engineer,72147,3
"Des Moines, IA",Telecommunications Network Technician,43978,2
"Des Moines, IA",Data Scientist,104651,3
