location,job,salary_med,demand
"Hartford, CT",Software Developer / Engineer,93017,5
"Hartford, CT",IT manager,102319,4
"Hartford, CT",Web Developer,83397,3
"Hartford, CT",Database Administrator,86618,4
"Hartford, CT",Cyber Security Analyst,83021,4
"Hartford, CT",Systems Analyst,87048,4
"Hartford, CT",Network Engineer / Architect,111246,5
"Hartford, CT",Hardware Design Engineer,98797,2
"Hartford, CT",Embedded Software Engineer,95972,2
"Hartford, CT",Electrical Design Engineer,90573,3
"Hartford, CT",Telecommunications Network Technician,54312,2
"Hartford, CT",Data Scientist,112035,4
