location,job,salary_med,demand
"Houston, TX",Software Developer / Engineer,93710,5
"Houston, TX",IT manager,106857,3
"Houston, TX",Web Developer,79600,3
"Houston, TX",Database Administrator,87671,4
"Houston, TX",Cyber Security Analyst,85760,3
"Houston, TX",Systems Analyst,88574,4
"Houston, TX",Network Engineer / Architect,106519,5
"Houston, TX",Integrated Circuit (IC) Design Engineer,95378,2
"Houston, TX",Hardware Design Engineer,98301,2
"Houston, TX",Embedded Software Engineer,103537,2
"Houston, TX",Electrical Design Engineer,86488,2
"Houston, TX",Telecommunications Network Technician,42083,2
"Houston, TX",Data Scientist,107896,3
"Houston, TX",Software Developer / Engineer,93710,5
"Houston, TX",IT manager,106857,3
"Houston, TX",Web Developer,79600,3
"Houston, TX",Database Administrator,87671,4
"Houston, TX",Cyber Security Analyst,85760,3
"Houston, TX",Systems Analyst,88574,4
"Houston, TX",Network Engineer / Architect,106519,5
"Houston, TX",Integrated Circuit (IC) Design Engineer,95378,2
"Houston, TX",Hardware Design Engineer,98301,2
"Houston, TX",Embedded Software Engineer,103537,2
"Houston, TX",Electrical Design Engineer,86488,2
"Houston, TX",Telecommunications Network Technician,42083,2
"Houston, TX",Data Scientist,107896,3
