location,job,salary_med,demand
"Indianapolis, IN",Software Developer / Engineer,87236,5
"Indianapolis, IN",IT manager,99796,3
"Indianapolis, IN",Web Developer,76456,3
"Indianapolis, IN",Database Administrator,70616,4
"Indianapolis, IN",Cyber Security Analyst,80365,3
"Indianapolis, IN",Systems Analyst,77290,4
"Indianapolis, IN",Network Engineer / Architect,104221,5
"Indianapolis, IN",Integrated Circuit (IC) Design Engineer,110542,2
"Indianapolis, IN",Hardware Design Engineer,80036,2
"Indianapolis, IN",Embedded Software Engineer,105735,2
"Indianapolis, IN",Electrical Design Engineer,87899,2
"Indianapolis, IN",Telecommunications Network Technician,40765,2
"Indianapolis, IN",Data Scientist,102432,3
"Indianapolis, IN",Software Developer / Engineer,87236,5
"Indianapolis, IN",IT manager,99796,3
"Indianapolis, IN",Web Developer,76456,3
"Indianapolis, IN",Database Administrator,70616,4
"Indianapolis, IN",Cyber Security Analyst,80365,3
"Indianapolis, IN",Systems Analyst,77290,4
"Indianapolis, IN",Network Engineer / Architect,104221,5
"Indianapolis, IN",Integrated Circuit (IC) Design Engineer,110542,2
"Indianapolis, IN",Hardware Design Engineer,80036,2
"Indianapolis, IN",Embedded Software Engineer,105735,2
"Indianapolis, IN",Electrical Design Engineer,87899,2
"Indianapolis, IN",Telecommunications Network Technician,40765,2
"Indianapolis, IN",Data Scientist,102432,3
