location,job,salary_med,demand
"Lansing, MI",Software Developer / Engineer,81626,5
"Lansing, MI",IT manager,75287,4
"Lansing, MI",Web Developer,78588,4
"Lansing, MI",Database Administrator,79640,5
"Lansing, MI",Cyber Security Analyst,78496,4
"Lansing, MI",Systems Analyst,72538,4
"Lansing, MI",Network Engineer / Architect,99904,5
"Lansing, MI",Embedded Software Engineer,81436,2
"Lansing, MI",Electrical Design Engineer,72301,2
"Lansing, MI",Telecommunications Network Technician,69336,2
"Lansing, MI",Data Scientist,94483,3
