location,job,salary_med,demand
"Little Rock, AR",Software Developer / Engineer,78396,5
"Little Rock, AR",IT manager,82570,3
"Little Rock, AR",Web Developer,71891,3
"Little Rock, AR",Database Administrator,75386,4
"Little Rock, AR",Cyber Security Analyst,73299,3
"Little Rock, AR",Systems Analyst,67090,3
"Little Rock, AR",Network Engineer / Architect,91299,4
"Little Rock, AR",Electrical Design Engineer,71437,2
"Little Rock, AR",Telecommunications Network Technician,46862,2
"Little Rock, AR",Data Scientist,112889,3
