location,job,salary_med,demand
"Los Angeles, CA",Software Developer / Engineer,99070,5
"Los Angeles, CA",IT manager,104814,3
"Los Angeles, CA",Web Developer,84639,4
"Los Angeles, CA",Database Administrator,89851,4
"Los Angeles, CA",Cyber Security Analyst,85547,3
"Los Angeles, CA",Systems Analyst,91084,3
"Los Angeles, CA",Network Engineer / Architect,111223,5
"Los Angeles, CA",Integrated Circuit (IC) Design Engineer,102932,2
"Los Angeles, CA",Hardware Design Engineer,107708,3
"Los Angeles, CA",Embedded Software Engineer,110600,3
"Los Angeles, CA",Electrical Design Engineer,92343,3
"Los Angeles, CA",Telecommunications Network Technician,50176,2
"Los Angeles, CA",Data Scientist,116270,3
"Los Angeles, CA",Software Developer / Engineer,99070,5
"Los Angeles, CA",IT manager,104814,3
"Los Angeles, CA",Web Developer,84639,4
"Los Angeles, CA",Database Administrator,89851,4
"Los Angeles, CA",Cyber Security Analyst,85547,3
"Los Angeles, CA",Systems Analyst,91084,3
"Los Angeles, CA",Network Engineer / Architect,111223,5
"Los Angeles, CA",Integrated Circuit (IC) Design Engineer,102932,2
"Los Angeles, CA",Hardware Design Engineer,107708,3
"Los Angeles, CA",Embedded Software Engineer,110600,3
"Los Angeles, CA",Electrical Design Engineer,92343,3
"Los Angeles, CA",Telecommunications Network Technician,50176,2
"Los Angeles, CA",Data Scientist,116270,3
