location,job,salary_med,demand
"Madison, WI",Software Developer / Engineer,80713,5
"Madison, WI",IT manager,83140,3
"Madison, WI",Web Developer,67064,4
"Madison, WI",Database Administrator,70701,4
"Madison, WI",Cyber Security Analyst,70736,4
"Madison, WI",Systems Analyst,69100,4
"Madison, WI",Network Engineer / Architect,87409,5
"Madison, WI",Integrated Circuit (IC) Design Engineer,97775,2
"Madison, WI",Hardware Design Engineer,88204,2
"Madison, WI",Embedded Software Engineer,85959,3
"Madison, WI",Electrical Design Engineer,71121,2
"Madison, WI",Telecommunications Network Technician,45975,2
"Madison, WI",Data Scientist,101731,3
