location,job,salary_med,demand
"Miami, FL",Software Developer / Engineer,91087,5
"Miami, FL",IT manager,94981,3
"Miami, FL",Web Developer,72433,3
"Miami, FL",Database Administrator,76711,4
"Miami, FL",Cyber Security Analyst,81300,3
"Miami, FL",Systems Analyst,79695,3
"Miami, FL",Network Engineer / Architect,102817,5
"Miami, FL",Hardware Design Engineer,106643,2
"Miami, FL",Embedded Software Engineer,94429,2
"Miami, FL",Electrical Design Engineer,76099,2
"Miami, FL",Telecommunications Network Technician,43508,2
"Miami, FL",Data Scientist,112713,3
"Miami, FL",Software Developer / Engineer,91087,5
"Miami, FL",IT manager,94981,3
"Miami, FL",Web Developer,72433,3
"Miami, FL",Database Administrator,76711,4
"Miami, FL",Cyber Security Analyst,81300,3
"Miami, FL",Systems Analyst,79695,3
"Miami, FL",Network Engineer / Architect,102817,5
"Miami, FL",Hardware Design Engineer,106643,2
"Miami, FL",Embedded Software Engineer,94429,2
"Miami, FL",Electrical Design Engineer,76099,2
"Miami, FL",Telecommunications Network Technician,43508,2
"Miami, FL",Data Scientist,112713,3
