location,job,salary_med,demand
"Montgomery, AL",Software Developer / Engineer,90199,5
"Montgomery, AL",IT manager,102976,3
"Montgomery, AL",Web Developer,87122,4
"Montgomery, AL",Database Administrator,89555,5
"Montgomery, AL",Cyber Security Analyst,88431,4
"Montgomery, AL",Systems Analyst,86216,3
"Montgomery, AL",Network Engineer / Architect,108027,5
"Montgomery, AL",Hardware Design Engineer,103803,2
"Montgomery, AL",Electrical Design Engineer,80960,3
"Montgomery, AL",Telecommunications Network Technician,57494,2
"Montgomery, AL",Data Scientist,108716,3
