location,job,salary_med,demand
"Nashville, TN",Software Developer / Engineer,88322,5
"Nashville, TN",IT manager,87037,3
"Nashville, TN",Web Developer,73124,3
"Nashville, TN",Database Administrator,80869,4
"Nashville, TN",Cyber Security Analyst,80442,3
"Nashville, TN",Systems Analyst,83882,3
"Nashville, TN",Network Engineer / Architect,98015,4
"Nashville, TN",Hardware Design Engineer,90416,2
"Nashville, TN",Embedded Software Engineer,110154,2
"Nashville, TN",Electrical Design Engineer,83945,3
"Nashville, TN",Telecommunications Network Technician,48635,2
"Nashville, TN",Data Scientist,116583,3
