location,job,salary_med,demand
"New York City, NY",Software Developer / Engineer,101864,5
"New York City, NY",IT manager,109252,4
"New York City, NY",Web Developer,88942,4
"New York City, NY",Database Administrator,91599,4
"New York City, NY",Cyber Security Analyst,91354,4
"New York City, NY",Systems Analyst,91834,4
"New York City, NY",Network Engineer / Architect,114868,5
"New York City, NY",Integrated Circuit (IC) Design Engineer,105560,2
"New York City, NY",Hardware Design Engineer,107655,2
"New York City, NY",Embedded Software Engineer,106814,2
"New York City, NY",Electrical Design Engineer,88188,2
"New York City, NY",Telecommunications Network Technician,53996,2
"New York City, NY",Data Scientist,117235,5
"New York City, NY",Software Developer / Engineer,101864,5
"New York City, NY",IT manager,109252,4
"New York City, NY",Web Developer,88942,4
"New York City, NY",Database Administrator,91599,4
"New York City, NY",Cyber Security Analyst,91354,4
"New York City, NY",Systems Analyst,91834,4
"New York City, NY",Network Engineer / Architect,114868,5
"New York City, NY",Integrated Circuit (IC) Design Engineer,105560,2
"New York City, NY",Hardware Design Engineer,107655,2
"New York City, NY",Embedded Software Engineer,106814,2
"New York City, NY",Electrical Design Engineer,88188,2
"New York City, NY",Telecommunications Network Technician,53996,2
"New York City, NY",Data Scientist,117235,5
