location,job,salary_med,demand
"Oklahoma City, OK",Software Developer / Engineer,77412,5
"Oklahoma City, OK",IT manager,90017,3
"Oklahoma City, OK",Web Developer,71058,3
"Oklahoma City, OK",Database Administrator,69170,4
"Oklahoma City, OK",Cyber Security Analyst,72311,3
"Oklahoma City, OK",Systems Analyst,68432,3
"Oklahoma City, OK",Network Engineer / Architect,87565,4
"Oklahoma City, OK",Hardware Design Engineer,72269,2
"Oklahoma City, OK",Embedded Software Engineer,96342,2
"Oklahoma City, OK",Electrical Design Engineer,76861,3
"Oklahoma City, OK",Telecommunications Network Technician,39850,3
"Oklahoma City, OK",Data Scientist,92955,3
