location,job,salary_med,demand
"Philadelphia, PA",Software Developer / Engineer,93860,5
"Philadelphia, PA",IT manager,104519,3
"Philadelphia, PA",Web Developer,80634,4
"Philadelphia, PA",Database Administrator,85284,4
"Philadelphia, PA",Cyber Security Analyst,81321,4
"Philadelphia, PA",Systems Analyst,84338,4
"Philadelphia, PA",Network Engineer / Architect,106413,5
"Philadelphia, PA",Integrated Circuit (IC) Design Engineer,98070,2
"Philadelphia, PA",Hardware Design Engineer,85169,2
"Philadelphia, PA",Embedded Software Engineer,96814,3
"Philadelphia, PA",Electrical Design Engineer,83923,2
"Philadelphia, PA",Telecommunications Network Technician,47152,2
"Philadelphia, PA",Data Scientist,108059,3
"Philadelphia, PA",Software Developer / Engineer,93860,5
"Philadelphia, PA",IT manager,104519,3
"Philadelphia, PA",Web Developer,80634,4
"Philadelphia, PA",Database Administrator,85284,4
"Philadelphia, PA",Cyber Security Analyst,81321,4
"Philadelphia, PA",Systems Analyst,84338,4
"Philadelphia, PA",Network Engineer / Architect,106413,5
"Philadelphia, PA",Integrated Circuit (IC) Design Engineer,98070,2
"Philadelphia, PA",Hardware Design Engineer,85169,2
"Philadelphia, PA",Embedded Software Engineer,96814,3
"Philadelphia, PA",Electrical Design Engineer,83923,2
"Philadelphia, PA",Telecommunications Network Technician,47152,2
"Philadelphia, PA",Data Scientist,108059,3
