location,job,salary_med,demand
"Phoenix, AZ",Software Developer / Engineer,92511,5
"Phoenix, AZ",IT manager,102032,3
"Phoenix, AZ",Web Developer,82934,3
"Phoenix, AZ",Database Administrator,84232,4
"Phoenix, AZ",Cyber Security Analyst,79646,3
"Phoenix, AZ",Systems Analyst,81133,4
"Phoenix, AZ",Network Engineer / Architect,103655,5
"Phoenix, AZ",Integrated Circuit (IC) Design Engineer,102106,2
"Phoenix, AZ",Hardware Design Engineer,108959,2
"Phoenix, AZ",Embedded Software Engineer,103279,3
"Phoenix, AZ",Electrical Design Engineer,94889,3
"Phoenix, AZ",Telecommunications Network Technician,44786,2
"Phoenix, AZ",Data Scientist,111426,3
"Phoenix, AZ",Software Developer / Engineer,92511,5
"Phoenix, AZ",IT manager,102032,3
"Phoenix, AZ",Web Developer,82934,3
"Phoenix, AZ",Database Administrator,84232,4
"Phoenix, AZ",Cyber Security Analyst,79646,3
"Phoenix, AZ",Systems Analyst,81133,4
"Phoenix, AZ",Network Engineer / Architect,103655,5
"Phoenix, AZ",Integrated Circuit (IC) Design Engineer,102106,2
"Phoenix, AZ",Hardware Design Engineer,108959,2
"Phoenix, AZ",Embedded Software Engineer,103279,3
"Phoenix, AZ",Electrical Design Engineer,94889,3
"Phoenix, AZ",Telecommunications Network Technician,44786,2
"Phoenix, AZ",Data Scientist,111426,3
