location,job,salary_med,demand
"Pittsburgh, PA",Software Developer / Engineer,87314,5
"Pittsburgh, PA",IT manager,98771,3
"Pittsburgh, PA",Web Developer,72161,3
"Pittsburgh, PA",Database Administrator,78585,4
"Pittsburgh, PA",Cyber Security Analyst,81290,3
"Pittsburgh, PA",Systems Analyst,75745,4
"Pittsburgh, PA",Network Engineer / Architect,99941,5
"Pittsburgh, PA",Integrated Circuit (IC) Design Engineer,75645,2
"Pittsburgh, PA",Hardware Design Engineer,87516,3
"Pittsburgh, PA",Embedded Software Engineer,94653,3
"Pittsburgh, PA",Electrical Design Engineer,87080,2
"Pittsburgh, PA",Telecommunications Network Technician,38346,2
"Pittsburgh, PA",Data Scientist,103924,4
"Pittsburgh, PA",Software Developer / Engineer,87314,5
"Pittsburgh, PA",IT manager,98771,3
"Pittsburgh, PA",Web Developer,72161,3
"Pittsburgh, PA",Database Administrator,78585,4
"Pittsburgh, PA",Cyber Security Analyst,81290,3
"Pittsburgh, PA",Systems Analyst,75745,4
"Pittsburgh, PA",Network Engineer / Architect,99941,5
"Pittsburgh, PA",Integrated Circuit (IC) Design Engineer,75645,2
"Pittsburgh, PA",Hardware Design Engineer,87516,3
"Pittsburgh, PA",Embedded Software Engineer,94653,3
"Pittsburgh, PA",Electrical Design Engineer,87080,2
"Pittsburgh, PA",Telecommunications Network Technician,38346,2
"Pittsburgh, PA",Data Scientist,103924,4
