location,job,salary_med,demand
"Providence, RI",Software Developer / Engineer,94087,5
"Providence, RI",IT manager,107297,3
"Providence, RI",Web Developer,79070,3
"Providence, RI",Database Administrator,86828,4
"Providence, RI",Cyber Security Analyst,86135,4
"Providence, RI",Systems Analyst,86974,3
"Providence, RI",Network Engineer / Architect,111028,5
"Providence, RI",Embedded Software Engineer,96431,2
"Providence, RI",Electrical Design Engineer,106392,2
"Providence, RI",Telecommunications Network Technician,34976,2
"Providence, RI",Data Scientist,115063,3
