location,job,salary_med,demand
"Raleigh, NC",Software Developer / Engineer,92898,5
"Raleigh, NC",IT manager,105812,3
"Raleigh, NC",Web Developer,80966,4
"Raleigh, NC",Database Administrator,86784,5
"Raleigh, NC",Cyber Security Analyst,84525,4
"Raleigh, NC",Systems Analyst,80110,4
"Raleigh, NC",Network Engineer / Architect,99786,5
"Raleigh, NC",Integrated Circuit (IC) Design Engineer,110048,2
"Raleigh, NC",Hardware Design Engineer,96489,3
"Raleigh, NC",Embedded Software Engineer,103361,3
"Raleigh, NC",Electrical Design Engineer,89455,3
"Raleigh, NC",Telecommunications Network Technician,38223,2
"Raleigh, NC",Data Scientist,107577,4
