location,job,salary_med,demand
"Sacramento, CA",Software Developer / Engineer,97333,5
"Sacramento, CA",IT manager,102366,3
"Sacramento, CA",Web Developer,87528,3
"Sacramento, CA",Database Administrator,88202,4
"Sacramento, CA",Cyber Security Analyst,90338,3
"Sacramento, CA",Systems Analyst,85276,3
"Sacramento, CA",Network Engineer / Architect,107367,5
"Sacramento, CA",Integrated Circuit (IC) Design Engineer,85391,2
"Sacramento, CA",Hardware Design Engineer,103117,2
"Sacramento, CA",Embedded Software Engineer,103609,2
"Sacramento, CA",Electrical Design Engineer,101877,3
"Sacramento, CA",Telecommunications Network Technician,49298,3
"Sacramento, CA",Data Scientist,117221,3
