location,job,salary_med,demand
"Salem, OR",Software Developer / Engineer,78225,5
"Salem, OR",IT manager,93100,3
"Salem, OR",Web Developer,82064,3
"Salem, OR",Database Administrator,69095,3
"Salem, OR",Cyber Security Analyst,76411,3
"Salem, OR",Systems Analyst,70682,3
"Salem, OR",Network Engineer / Architect,98137,4
"Salem, OR",Embedded Software Engineer,109157,2
"Salem, OR",Electrical Design Engineer,79237,3
"Salem, OR",Telecommunications Network Technician,34655,2
"Salem, OR",Data Scientist,95189,3
