location,job,salary_med,demand
"Salt Lake City, UT",Software Developer / Engineer,88158,5
"Salt Lake City, UT",IT manager,86652,3
"Salt Lake City, UT",Web Developer,72519,3
"Salt Lake City, UT",Database Administrator,72620,4
"Salt Lake City, UT",Cyber Security Analyst,74578,3
"Salt Lake City, UT",Systems Analyst,71927,3
"Salt Lake City, UT",Network Engineer / Architect,92275,5
"Salt Lake City, UT",Hardware Design Engineer,90857,3
"Salt Lake City, UT",Embedded Software Engineer,97799,3
"Salt Lake City, UT",Electrical Design Engineer,82908,2
"Salt Lake City, UT",Telecommunications Network Technician,41053,2
"Salt Lake City, UT",Data Scientist,106007,3
