location,job,salary_med,demand
"San Antonio, TX",Software Developer / Engineer,87640,5
"San Antonio, TX",IT manager,90998,3
"San Antonio, TX",Web Developer,75099,3
"San Antonio, TX",Database Administrator,76317,4
"San Antonio, TX",Cyber Security Analyst,79488,4
"San Antonio, TX",Systems Analyst,78397,4
"San Antonio, TX",Network Engineer / Architect,94056,5
"San Antonio, TX",Integrated Circuit (IC) Design Engineer,114768,2
"San Antonio, TX",Hardware Design Engineer,76020,2
"San Antonio, TX",Embedded Software Engineer,113725,2
"San Antonio, TX",Electrical Design Engineer,87616,2
"San Antonio, TX",Telecommunications Network Technician,38071,2
"San Antonio, TX",Data Scientist,107572,3
"San Antonio, TX",Software Developer / Engineer,87640,5
"San Antonio, TX",IT manager,90998,3
"San Antonio, TX",Web Developer,75099,3
"San Antonio, TX",Database Administrator,76317,4
"San Antonio, TX",Cyber Security Analyst,79488,4
"San Antonio, TX",Systems Analyst,78397,4
"San Antonio, TX",Network Engineer / Architect,94056,5
"San Antonio, TX",Integrated Circuit (IC) Design Engineer,114768,2
"San Antonio, TX",Hardware Design Engineer,76020,2
"San Antonio, TX",Embedded Software Engineer,113725,2
"San Antonio, TX",Electrical Design Engineer,87616,2
"San Antonio, TX",Telecommunications Network Technician,38071,2
"San Antonio, TX",Data Scientist,107572,3
