location,job,salary_med,demand
"San Diego, CA",Software Developer / Engineer,96887,5
"San Diego, CA",IT manager,101701,3
"San Diego, CA",Web Developer,82368,4
"San Diego, CA",Database Administrator,85686,4
"San Diego, CA",Cyber Security Analyst,84402,3
"San Diego, CA",Systems Analyst,82954,4
"San Diego, CA",Network Engineer / Architect,105142,5
"San Diego, CA",Integrated Circuit (IC) Design Engineer,108896,3
"San Diego, CA",Hardware Design Engineer,103585,3
"San Diego, CA",Embedded Software Engineer,107254,3
"San Diego, CA",Electrical Design Engineer,103500,3
"San Diego, CA",Telecommunications Network Technician,44939,2
"San Diego, CA",Data Scientist,112948,3
"San Diego, CA",Software Developer / Engineer,96887,5
"San Diego, CA",IT manager,101701,3
"San Diego, CA",Web Developer,82368,4
"San Diego, CA",Database Administrator,85686,4
"San Diego, CA",Cyber Security Analyst,84402,3
"San Diego, CA",Systems Analyst,82954,4
"San Diego, CA",Network Engineer / Architect,105142,5
"San Diego, CA",Integrated Circuit (IC) Design Engineer,108896,3
"San Diego, CA",Hardware Design Engineer,103585,3
"San Diego, CA",Embedded Software Engineer,107254,3
"San Diego, CA",Electrical Design Engineer,103500,3
"San Diego, CA",Telecommunications Network Technician,44939,2
"San Diego, CA",Data Scientist,112948,3
