location,job,salary_med,demand
"San Francisco, CA",Software Developer / Engineer,107685,5
"San Francisco, CA",IT manager,113595,4
"San Francisco, CA",Web Developer,95605,4
"San Francisco, CA",Database Administrator,97421,4
"San Francisco, CA",Cyber Security Analyst,93056,3
"San Francisco, CA",Systems Analyst,95473,4
"San Francisco, CA",Network Engineer / Architect,119267,5
"San Francisco, CA",Integrated Circuit (IC) Design Engineer,125630,2
"San Francisco, CA",Hardware Design Engineer,109855,3
"San Francisco, CA",Embedded Software Engineer,113187,3
"San Francisco, CA",Electrical Design Engineer,99184,3
"San Francisco, CA",Telecommunications Network Technician,52205,2
"San Francisco, CA",Data Scientist,116660,5
"San Francisco, CA",Software Developer / Engineer,107685,5
"San Francisco, CA",IT manager,113595,4
"San Francisco, CA",Web Developer,95605,4
"San Francisco, CA",Database Administrator,97421,4
"San Francisco, CA",Cyber Security Analyst,93056,3
"San Francisco, CA",Systems Analyst,95473,4
"San Francisco, CA",Network Engineer / Architect,119267,5
"San Francisco, CA",Integrated Circuit (IC) Design Engineer,125630,2
"San Francisco, CA",Hardware Design Engineer,109855,3
"San Francisco, CA",Embedded Software Engineer,113187,3
"San Francisco, CA",Electrical Design Engineer,99184,3
"San Francisco, CA",Telecommunications Network Technician,52205,2
"San Francisco, CA",Data Scientist,116660,5
