location,job,salary_med,demand
"San Jose, CA",Software Developer / Engineer,110900,5
"San Jose, CA",IT manager,121832,4
"San Jose, CA",Web Developer,96985,4
"San Jose, CA",Database Administrator,101559,4
"San Jose, CA",Cyber Security Analyst,93369,4
"San Jose, CA",Systems Analyst,104753,4
"San Jose, CA",Network Engineer / Architect,120216,5
"San Jose, CA",Integrated Circuit (IC) Design Engineer,121848,3
"San Jose, CA",Hardware Design Engineer,113783,4
"San Jose, CA",Embedded Software Engineer,116880,4
"San Jose, CA",Electrical Design Engineer,113227,3
"San Jose, CA",Telecommunications Network Technician,59325,2
"San Jose, CA",Data Scientist,119923,5
"San Jose, CA",Software Developer / Engineer,110900,5
"San Jose, CA",IT manager,121832,4
"San Jose, CA",Web Developer,96985,4
"San Jose, CA",Database Administrator,101559,4
"San Jose, CA",Cyber Security Analyst,93369,4
"San Jose, CA",Systems Analyst,104753,4
"San Jose, CA",Network Engineer / Architect,120216,5
"San Jose, CA",Integrated Circuit (IC) Design Engineer,121848,3
"San Jose, CA",Hardware Design Engineer,113783,4
"San Jose, CA",Embedded Software Engineer,116880,4
"San Jose, CA",Electrical Design Engineer,113227,3
"San Jose, CA",Telecommunications Network Technician,59325,2
"San Jose, CA",Data Scientist,119923,5
