location,job,salary_med,demand
"Seattle, WA",Software Developer / Engineer,100866,5
"Seattle, WA",IT manager,110656,4
"Seattle, WA",Web Developer,83964,4
"Seattle, WA",Database Administrator,88255,4
"Seattle, WA",Cyber Security Analyst,87741,3
"Seattle, WA",Systems Analyst,86421,4
"Seattle, WA",Network Engineer / Architect,112212,5
"Seattle, WA",Integrated Circuit (IC) Design Engineer,107251,2
"Seattle, WA",Hardware Design Engineer,106961,3
"Seattle, WA",Embedded Software Engineer,108640,3
"Seattle, WA",Electrical Design Engineer,99012,3
"Seattle, WA",Telecommunications Network Technician,51366,2
"Seattle, WA",Data Scientist,111560,4
