location,job,salary_med,demand
"Springfield, IL",Software Developer / Engineer,86263,5
"Springfield, IL",IT manager,86442,3
"Springfield, IL",Web Developer,82295,3
"Springfield, IL",Database Administrator,79867,3
"Springfield, IL",Cyber Security Analyst,85044,3
"Springfield, IL",Systems Analyst,67935,4
"Springfield, IL",Network Engineer / Architect,99133,4
"Springfield, IL",Hardware Design Engineer,76060,2
"Springfield, IL",Embedded Software Engineer,94897,3
"Springfield, IL",Electrical Design Engineer,91078,3
"Springfield, IL",Data Scientist,96923,3
