location,job,salary_med,demand
"Tallahassee, FL",Software Developer / Engineer,75394,5
"Tallahassee, FL",IT manager,86986,3
"Tallahassee, FL",Web Developer,69604,4
"Tallahassee, FL",Database Administrator,81949,4
"Tallahassee, FL",Cyber Security Analyst,66611,4
"Tallahassee, FL",Systems Analyst,55579,4
"Tallahassee, FL",Network Engineer / Architect,94836,5
"Tallahassee, FL",Integrated Circuit (IC) Design Engineer,61329,2
"Tallahassee, FL",Embedded Software Engineer,92788,2
"Tallahassee, FL",Electrical Design Engineer,76781,2
"Tallahassee, FL",Telecommunications Network Technician,39843,2
"Tallahassee, FL",Data Scientist,106127,3
