location,job,salary_med,demand
"Trenton, NJ",Software Developer / Engineer,95410,5
"Trenton, NJ",IT manager,109117,4
"Trenton, NJ",Web Developer,87417,4
"Trenton, NJ",Database Administrator,92174,5
"Trenton, NJ",Cyber Security Analyst,86214,4
"Trenton, NJ",Systems Analyst,94284,4
"Trenton, NJ",Network Engineer / Architect,106213,5
"Trenton, NJ",Integrated Circuit (IC) Design Engineer,104772,2
"Trenton, NJ",Hardware Design Engineer,89058,2
"Trenton, NJ",Embedded Software Engineer,108183,3
"Trenton, NJ",Electrical Design Engineer,88460,2
"Trenton, NJ",Telecommunications Network Technician,79115,2
"Trenton, NJ",Data Scientist,110564,4
